pddikti_institution_code,institution_name,ownership,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
76,AKADEMI KEBIDANAN TUNAS HARAPAN BANGSA,-1,Jl Angkatan 66 Lr Suka Damai,KOTA PALEMBANG,PROV. SUMATERA SELATAN,"{""website"": ""www.akbidthb.ac.id"", ""email"": ""akbid_thb@yahoo.com"", ""phone"": ""0711813243 / 0711813243""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,SEKOLAH TINGGI ILMU TARBIYAH NAHDLATUL ULAMAAL-FARABI PANGANDARAN,-1,Jl. Cigugur Km. 03 Pasirkiara Karangbenda Kec. Parigi Pangandaran Jawa Barat,KAB. PANGANDARAN,PROV. JAWA BARAT,"{""website"": ""https://alfarabi.ac.id/"", ""email"": ""info@alfarabi.ac.id"", ""phone"": ""081323512199""}",1500000,1500000,1500000,3000000,3000000,3000000,-1,-1,-1,-1,-1
78,UNIVERSITAS MEGAREZKY,-1,Jalan Antang Raya No. 45  Antang  Manggala,KOTA MAKASSAR,PROV. SULAWESI SELATAN,"{""website"": ""www.unimerz.ac.id"", ""email"": ""info@unimerz.ac.id"", ""phone"": ""492401 / 492401""}",16800000,100000,33500000,33600000,200000,67000000,-1,-1,-1,-1,-1
79,SEKOLAH TINGGI TEOLOGI INJILI INDONESIA AMBON,-1,Jl.Sisingamangaraja Waitatiri-Suli,KAB. MALUKU TENGAH,PROV. MALUKU,"{""website"": ""sttiiambon.ac.id"", ""email"": ""stiiambon@yahoo.com/sttiiambon33@gmail.com"", ""phone"": ""361071""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,UNIVERSITAS BUNG KARNO,-1,Jalan Kimia No 20,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,"{""website"": ""www.ubk.ac.id"", ""email"": ""rektorat@ubk.ac.id"", ""phone"": ""021-3901076 3901278 / 021-3901278""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,POLITEKNIK LINGGA,-1,-,KAB. LINGGA,PROV. KEPULAUAN RIAU,"{""website"": ""-"", ""email"": ""ahmatendang@gmail.com"", ""phone"": ""085242775369""}",2400000,2400000,2400000,4800000,4800000,4800000,-1,-1,-1,-1,-1
82,UNIVERSITAS YAYASAN PENDIDIKAN IMAM BONJOL MAJALENGKA,-1,-,KAB. MAJALENGKA,PROV. JAWA BARAT,"{""website"": ""univypib.ac.id"", ""email"": ""kampus@univypib.ac.id"", ""phone"": ""0811-2221-913 / 0233-284-098""}",4550000,2500000,6600000,9100000,5000000,13200000,-1,-1,-1,-1,-1
83,STIKES DARMAIS PADANGSIDIMPUAN,-1,Jl. Belibis No. 1 Perumahan Sopo Indah Sigulang                       Kec.Padang,KOTA PADANG SIDEMPUAN,PROV. SUMATERA UTARA,"{""website"": ""www.stikesdarmaispadangsidimpuan.ac.id"", ""email"": ""info@stikesdarmaispadangsidimpuan.ac.id"", ""phone"": ""7020950 / 28672""}",3000000,3000000,3000000,6000000,6000000,6000000,-1,-1,-1,-1,-1
84,SEKOLAH TINGGI ILMU ADMINISTRASI AMUNTAI,-1,Jalan Kuripan Murung Sari 54,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,"{""website"": ""stia-amuntai@ac.id"", ""email"": ""stiaamt@gmail.com"", ""phone"": ""052762520 / 052762520""}",2865000,1800000,3930000,5730000,3600000,7860000,-1,-1,-1,-1,-1
85,SEKOLAH TINGGI ILMU EKONOMI PEMNAS INDONESIA,-1,Graha Wisata Jalan Thamrin No 1 Malang    Jawa - Timur  Indonesia,KOTA MALANG,PROV. JAWA TIMUR,"{""website"": ""http://www.stiepemnas.ac.id"", ""email"": ""pemnasindonesia@gmail.com"", ""phone"": ""0341-5080639""}",3750000,2500000,5000000,7500000,5000000,10000000,-1,-1,-1,-1,-1
86,POLITEKNIK ILMU PELAYARAN SEMARANG,-1,,KOTA SEMARANG,PROV. JAWA TENGAH,"{""website"": ""https://pip-semarang.ac.id"", ""email"": ""info@pip-semarang.ac.id"", ""phone"": ""0248311527 / 0248311529""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,IAIN KENDARI,-1,Jln. Sultan Qaimuddin No. 17 Baruga Kota Kendari,KOTA KENDARI,PROV. SULAWESI TENGGARA,"{""website"": ""http://iainkendari.ac.id"", ""email"": ""iainkendari@yahoo.co.id"", ""phone"": ""0401 - 3192081 / 0401 - 3193710""}",2700000,400000,5000000,5400000,800000,10000000,-1,-1,-1,-1,-1
88,UNIVERSITAS ISLAM NEGERI SYEKH WASIL KEDIRI,-1,-,KAB. KEDIRI,PROV. JAWA TIMUR,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,SEKOLAH TINGGI ALKITAB SURABAYA,-1,Jl. Bromo I/7-9 Surabaya Jawa Timur Indonesia,KOTA SURABAYA,PROV. JAWA TIMUR,"{""website"": ""stas-surabaya.ac.id"", ""email"": ""stas_surabaya@yahoo.com"", ""phone"": ""0315460415""}",850000,500000,1200000,1700000,1000000,2400000,-1,-1,-1,-1,-1
90,UNIVERSITAS KRISTEN KRIDA WACANA,-1,Jl Tanjung Duren Raya No 4,KOTA JAKARTA BARAT,PROV. D.K.I. JAKARTA,"{""website"": ""www.ukrida.ac.id"", ""email"": ""univ.secretary@ukrida.ac.id"", ""phone"": ""021 566 6952-55 / 021 566 6956""}",28000000,28000000,28000000,56000000,56000000,56000000,-1,-1,-1,-1,-1
91,AKADEMI KOMUNITAS DEWINATALIA,-1,Jl. Bulu Mas Blok K3 No. 10 Kelurahan Manarang,KAB. PINRANG,PROV. SULAWESI SELATAN,"{""website"": ""-"", ""email"": ""akademikomunitasdewinatalia@gmail.com"", ""phone"": ""082350060002""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,SEKOLAH TINGGI TEOLOGI YESTOYA MALANG,-1,Jalan Raya Badut No. 1-3Malang Jawa Timur,KAB. MALANG,PROV. JAWA TIMUR,"{""website"": ""sttyestoya.ac.id"", ""email"": ""sttyestoya@gmail.com"", ""phone"": ""0341-557873 / 0341-585379""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,SEKOLAH TINGGI TEOLOGI INJILI INDONESIA PURWOKERTO,-1,Jalan Raya Kaliori 77 Kaliori-Banyumas  Jawa Tengah,TIDAK DIISI,PROV. JAWA TENGAH,"{""website"": ""sttiipurwokerto.ac.id"", ""email"": ""sttiipwt@gmail.com"", ""phone"": ""085229997238""}",5100000,5100000,5100000,10200000,10200000,10200000,-1,-1,-1,-1,-1
94,STAI KUALA KAPUAS  KALIMANTAN TENGAH,-1,Jl. Tambun Bungai No. 56,KAB. KAPUAS,PROV. KALIMANTAN TENGAH,"{""website"": ""https://www.staikualakapuas.ac.id"", ""email"": ""admin@staikualakapuas.ac.id"", ""phone"": ""051324699 / 051324699""}",1950000,1500000,2400000,3900000,3000000,4800000,-1,-1,-1,-1,-1
95,AKADEMI KESEHATAN GIGI DITKESAD JAKARTA,-1,Jln. Abdul Rahman saleh No.18  Jakarta Pusat,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,"{""website"": ""www.akgpuskesad.ac.id"", ""email"": ""akgditkesad@gmail.com"", ""phone"": ""021-3447614 / 021-3447614""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,AKADEMI SEKRETARIS DAN MANAJEMEN KENCANA BANDUNG,-1,Jl. Wastukencana No. 5C Kel. Babakan Ciamis Kec. Sumur Bandung,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""https://www.asmkencana.ac.id"", ""email"": ""info@asmkencana.ac.id"", ""phone"": ""25028987 / 25028987""}",4000000,4000000,4000000,8000000,8000000,8000000,-1,-1,-1,-1,-1
97,INSTITUT AGAMA KRISTEN NEGERI TARUTUNG,-1,-,KAB. TAPANULI UTARA,PROV. SUMATERA UTARA,"{""website"": ""https://www.iakntarutung.ac.id/"", ""email"": ""iakntarutung@gmail.com"", ""phone"": ""322060""}",7350000,700000,14000000,14700000,1400000,28000000,-1,-1,-1,-1,-1
98,STISIP MARGARANA,-1,Jalan Majapahit No 16 A,KAB. TABANAN,PROV. BALI,"{""website"": ""http://www.stisip-margarana.ac.id/"", ""email"": ""stisipmarga@gmail.com"", ""phone"": ""812035""}",3675000,3100000,4250000,7350000,6200000,8500000,-1,-1,-1,-1,-1
99,INSTITUT AGAMA ISLAM HASAN JUFRI BAWEAN,-1,Jalan Raya Kebunagung  Desa Lebak  Kecamatan Sangkapura,KAB. GRESIK,PROV. JAWA TIMUR,"{""website"": ""-"", ""email"": ""-"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,POLITEKNIK KRAKATAU,-1,Jl Sultan Ageng Tirtayasa 49 Komplek Bonakarta Blok B-7,KOTA CILEGON,PROV. BANTEN,"{""website"": ""www.polka.ac.id"", ""email"": ""politeknikrakatau@gmail.com"", ""phone"": ""0254-388-630 / 0254-388-312""}",3300000,500000,6100000,6600000,1000000,12200000,-1,-1,-1,-1,-1
101,UNIVERSITAS KRISTEN INDONESIA TOMOHON,-1,Jalan Raya Talete II Kampus II UKIT Kuranga,KOTA TOMOHON,PROV. SULAWESI UTARA,"{""website"": ""-"", ""email"": ""rektorat.ukit@gmail.com"", ""phone"": ""081343606077""}",15725000,50000,31400000,31450000,100000,62800000,-1,-1,-1,-1,-1
102,STKIP PGRI TULUNGAGUNG,-1,Jl Mayor Sujadi Timur No 7,KAB. TULUNGAGUNG,PROV. JAWA TIMUR,"{""website"": ""www.stkippgritulungagung.ac.id"", ""email"": ""info@stkippgritulungagung.ac.id"", ""phone"": ""0355-321426 / 0355-321426""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,STKIP YAPIS DOMPU,-1,Jl Syech Muhammad Lingkar Utara Bali I,KAB. DOMPU,PROV. NUSA TENGGARA BARAT,"{""website"": ""http://stkipyapisdompu.ac.id"", ""email"": ""akademik@stkipyapisdompu.ac.id"", ""phone"": ""085237083899""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,UNIVERSITAS MUHAMMADIYAH BREBES,-1,-,KAB. BREBES,PROV. JAWA TENGAH,"{""website"": ""umbs.ac.id"", ""email"": ""humas@stmikmpb.ac.id"", ""phone"": ""08112909939""}",3100000,2400000,3800000,6200000,4800000,7600000,-1,-1,-1,-1,-1
105,SEKOLAH TINGGI ILMU TARBIYAH ASSUNNIYAH TAMBARANGAN RANTAU TAPIN,-1,Jl. A. Yani KM 104 Tambarangan  RT. 09/RW 11 Kelurahan Tambarangan  Kecamatan Tapin Selatan  Kabupaten Tapin  Provinsi Kalimantan Selatan,KAB. TAPIN,PROV. KALIMANTAN SELATAN,"{""website"": ""stitastbr.ac.id"", ""email"": ""admin@stitastbr.ac.id"", ""phone"": ""081572034308 / 11111111111111""}",1200000,1200000,1200000,2400000,2400000,2400000,-1,-1,-1,-1,-1
106,POLITEKNIK KELAUTAN DAN PERIKANAN BITUNG,-1,Jalan Tandurusa Kotak Pos 12/BTG,KOTA BITUNG,PROV. SULAWESI UTARA,"{""website"": ""www.poltekkp-bitung.ac.id"", ""email"": ""politeknikkp_bitung@yahoo com"", ""phone"": ""0438 36434 / 0438 21436""}",100000,100000,100000,200000,200000,200000,-1,-1,-1,-1,-1
107,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,-1,Jalan Marsda Adisucipto No. 1,KAB. SLEMAN,PROV. D.I. YOGYAKARTA,"{""website"": ""www.uin-suka.ac.id"", ""email"": ""humas@uin-suka.ac.id"", ""phone"": ""589621 512474 / 586117""}",7525000,50000,15000000,15050000,100000,30000000,-1,-1,-1,-1,-1
108,POLITEKNIK MANUFAKTUR NEGERI BANGKA BELITUNG,-1,Jln. Timah Raya  Air Kantung Sungailiat Bangka,KAB. BANGKA,PROV. BANGKA BELITUNG,"{""website"": ""www.polman-babel.ac.id"", ""email"": ""polman@polman-babel.ac.id"", ""phone"": ""0717 93586 / 0717 93585""}",3250000,500000,6000000,6500000,1000000,12000000,-1,-1,-1,-1,-1
109,SEKOLAH TINGGI PENERBANGAN AVIASI,-1,Wisma Aldiron Dirgantara Jl Gatot Subroto No 72,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,"{""website"": ""www.stp-aviasi.ac.id"", ""email"": ""sekretariat@stp-aviasi.ac.id"", ""phone"": """"}",3275000,700000,5850000,6550000,1400000,11700000,-1,-1,-1,-1,-1
110,POLITEKNIK KOTABARU,-1,Jalan Raya Stagen KM 9 5,KAB. KOTA BARU,PROV. KALIMANTAN SELATAN,"{""website"": ""poltekab.ac.id"", ""email"": ""politeknik.kotabaru@poltekab.ac.id"", ""phone"": ""0518-6076838 / 0518-6076838""}",3200000,2400000,4000000,6400000,4800000,8000000,-1,-1,-1,-1,-1
111,POLITEKNIK WILMAR BISNIS INDONESIA,-1,Jalan Batu Sihombing  Desa Medan Estate,KAB. DELI SERDANG,PROV. SUMATERA UTARA,"{""website"": ""http://wbi.ac.id/"", ""email"": ""humas@wbi.ac.id"", ""phone"": ""+626142074111 / +626180011100""}",1073741824,1,2147483647,2147483648,2,4294967294,-1,-1,-1,-1,-1
112,SEKOLAH TINGGI ILMU SYARIAH AL-SYAIKH ABDUL WAHID BAU-BAU,-1,Jl. Muh Husni Thamrin No. 55 Kelurahan Batangguru  Kecamatan Wolio  Kota Bau-Bau  Provinsi Sulawesi Tenggara,KOTA BAUBAU,PROV. SULAWESI TENGGARA,"{""website"": ""www.stis.saw.ac.id"", ""email"": ""stis.saw@gmail.com"", ""phone"": ""2821776""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,INSTITUT AGAMA ISLAM KOTAMOBAGU,-1,Jl. Jhoni Suhodo No. 4  Kelurahan Kotobangon  Kecamatan Kotamobagu Timur  Kota Kotamobagu  Provinsi Sulawesi Utara,KOTA. KOTAMOBAGU,PROV. SULAWESI UTARA,"{""website"": ""www.iaik.ac.id"", ""email"": ""admin@iaik.ac.id"", ""phone"": ""+62812-4577-4675 / 0""}",1500000,1500000,1500000,3000000,3000000,3000000,-1,-1,-1,-1,-1
114,SEKOLAH TINGGI ILMU EKONOMI STUDI EKONOMI MODERN,-1,-,KAB. SUKOHARJO,PROV. JAWA TENGAH,"{""website"": ""http://stiestekom.ac.id/"", ""email"": ""stie@stekom.ac.id"", ""phone"": ""+62 813-8777-5758""}",16305000,750000,31860000,32610000,1500000,63720000,-1,-1,-1,-1,-1
115,SEKOLAH TINGGI AGAMA ISLAM TANBIHUL GHOFILIN BANJARNEGARA,-1,Jl. Raya Tampomas-Bawang KM. 07  Kabupaten Banjarnegara,KAB. BANJARNEGARA,PROV. JAWA TENGAH,"{""website"": ""staitangho.ac.id"", ""email"": ""staitangho@gmail.com"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,UNIVERSITAS MUHAMMADIYAH SAMPIT,-1,-,KAB. KOTAWARINGIN TIMUR,PROV. KALIMANTAN TENGAH,"{""website"": ""www.umsa.ac.id"", ""email"": ""umsa@umsa.ac.id / umsampit@gmail.com"", ""phone"": ""31141""}",3250000,2000000,4500000,6500000,4000000,9000000,-1,-1,-1,-1,-1
117,STAIN MALIKUSSALEH,-1,Jl. Medan-Banda Aceh Km. 275 no.1  Buket Rata  Lhokseumawe  Aceh,KOTA LHOKSEUMAWE,PROV. ACEH,"{""website"": ""www.stainmall.com"", ""email"": ""stainmal@kemenag.go.id"", ""phone"": ""064547267 / 064540329""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,AKADEMI ANALIS KESEHATAN DELIMA HUSADA GRESIK,-1,Gresik,KAB. GRESIK,PROV. JAWA TIMUR,"{""website"": ""www.aakdelimahusadagresik.ac.id"", ""email"": ""aakdelimahusadagresik@gmail.com"", ""phone"": ""0313981918 / 0313978628""}",3852515,5030,7700000,7705030,10060,15400000,-1,-1,-1,-1,-1
119,UNIVERSITAS MUHAMMADIYAH AHMAD DAHLAN PALEMBANG,-1,-,KOTA PALEMBANG,PROV. SUMATERA SELATAN,"{""website"": ""um-ad.ac.id"", ""email"": ""hms.umadplg@gmail.com"", ""phone"": ""0711-516231  516233""}",8705000,1600000,15810000,17410000,3200000,31620000,-1,-1,-1,-1,-1
120,SEKOLAH TINGGI TEOLOGI TABGHA BATAM,-1,-,KOTA BATAM,PROV. KEPULAUAN RIAU,"{""website"": ""www.st3b.ac.id"", ""email"": ""st3b.adm@gmail.com"", ""phone"": ""0778467070 / 0778467070""}",1700000,400000,3000000,3400000,800000,6000000,-1,-1,-1,-1,-1
121,UNIVERSITAS KALTARA,-1,Jl. Sengkawit RT.023 Tanjung Selor  Kabupaten Bulungan Kalimantan Utara,KAB. BULUNGAN,PROV. KALIMANTAN UTARA,"{""website"": ""www.unikaltar.ac.id"", ""email"": ""univ.kaltara@gmail.com"", ""phone"": ""0552-23190 / 0552-23190""}",4200000,2400000,6000000,8400000,4800000,12000000,-1,-1,-1,-1,-1
122,STIKES AMANAH MAKASSAR,-1,Jl. Meranti Raya No. 1 Panakukang Makassar,KOTA MAKASSAR,PROV. SULAWESI SELATAN,"{""website"": ""stikesamanah-mks.ac.id"", ""email"": ""stikesamanahmks09@yahoo.com"", ""phone"": ""0411-422048 / 0411-422870""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,SEKOLAH TINGGI TEKNIK ATLAS NUSANTARA,-1,Jalan Teluk Pacitan No 50 Arjosari Lantai 1,KOTA MALANG,PROV. JAWA TIMUR,"{""website"": ""www.sttar.ac.id"", ""email"": ""info@sttar.ac.id"", ""phone"": ""0341-475898 / 0341-475897""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,AKADEMI PARIWISATA DAN PERHOTELAN GANESHA,-1,Jalan Teluk Mandar Tomol Pos 5  Arjosari -  Malang,KOTA MALANG,PROV. JAWA TIMUR,"{""website"": ""http://www.apartel-ganesha.ac.id"", ""email"": ""info@apartel-ganesha.ac.id"", ""phone"": ""0341-0000 / 0341-0000""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,UNIVERSITAS ASAHAN,-1,Jalan Jenderal Ahmad Yani Asahan,KAB. ASAHAN,PROV. SUMATERA UTARA,"{""website"": ""una.ac.id"", ""email"": ""admin@una.ac.id"", ""phone"": ""-- / --""}",2500000,2500000,2500000,5000000,5000000,5000000,-1,-1,-1,-1,-1
126,UNIVERSITAS BINA SEHAT PPNI MOJOKERTO,-1,-,KAB. MOJOKERTO,PROV. JAWA TIMUR,"{""website"": ""-"", ""email"": ""-"", ""phone"": ""390203""}",8500000,4000000,13000000,17000000,8000000,26000000,-1,-1,-1,-1,-1
127,SEKOLAH TINGGI PARIWISATA BOGOR,-1,Jl. Curug Mekar No. 17 Yasmin,KOTA BOGOR,PROV. JAWA BARAT,"{""website"": ""www.stpbogor.ac.id"", ""email"": ""lpmi@stpbogor.ac.id"", ""phone"": ""0251-7534343 / 0251-7534513""}",6075000,2400000,9750000,12150000,4800000,19500000,-1,-1,-1,-1,-1
128,INSTITUT AGAMA ISLAM MIFTAHUL ULUM LUMAJANG,-1,Jalan Raya Lumajang-Jember Nomor 1984  Krajan 1  Banyu Putih Kidul  Kecamatan Jatiroto,KAB. LUMAJANG,PROV. JAWA TIMUR,"{""website"": ""iaimlumajang.ac.id"", ""email"": ""info@iaimlumajang.ac.id"", ""phone"": ""0334-8797454""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,SEKOLAH TINGGI ILMU KESEHATAN KENDEDES,-1,Malang,KOTA MALANG,PROV. JAWA TIMUR,"{""website"": ""www.stikeskendedes.ac.id"", ""email"": ""stikeskendedesmalang@gmail.com"", ""phone"": ""0341 488762 / 0341 488763""}",6600000,200000,13000000,13200000,400000,26000000,-1,-1,-1,-1,-1
130,AKADEMIK KEBIDANAN ARMINA CENTRE PANYABUNGAN,-1,Jalan William Iskandar 176,KAB. MANDAILING NATAL,PROV. SUMATERA UTARA,"{""website"": ""http://akbidarminacentre.ac.id"", ""email"": ""arminacentrepybakbid@gmail.com"", ""phone"": ""0636-321716 / 0636-321236""}",2650000,1300000,4000000,5300000,2600000,8000000,-1,-1,-1,-1,-1
131,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAMMUHAMMADIYAH SUMEDANG,-1,-,KAB. SUMEDANG,PROV. JAWA BARAT,"{""website"": ""www.stebismu-sumedang.ac.id"", ""email"": ""stebismu@gmail.com"", ""phone"": ""085294924229""}",3145000,3145000,3145000,6290000,6290000,6290000,-1,-1,-1,-1,-1
132,UNIVERSITAS NAHDLATUL ULAMA KALIMANTAN SELATAN,-1,Jl. Ahmad Yani Km. 12.5,KAB. BANJAR,PROV. KALIMANTAN SELATAN,"{""website"": ""www.unukase.ac.id"", ""email"": ""unu.kalsel@gmail.com"", ""phone"": ""0511 5511701""}",3875000,1750000,6000000,7750000,3500000,12000000,-1,-1,-1,-1,-1
133,INSTITUT TEKNOLOGI INDONESIA,-1,Jalan Raya Puspiptek Serpong,KOTA TANGERANG SELATAN,PROV. BANTEN,"{""website"": ""https://iti.ac.id"", ""email"": ""humas@iti.ac.id"", ""phone"": ""021-7560545 / 021-7560542""}",6200000,4000000,8400000,12400000,8000000,16800000,-1,-1,-1,-1,-1
134,SEKOLAH TINGGI ILMU ADMINISTRASI SATYA NEGARA,-1,Jalan Sukarejo Sukatani,KOTA PALEMBANG,PROV. SUMATERA SELATAN,"{""website"": ""stiasatyanegara.ac.id"", ""email"": ""satyanegerapalembang@yahoo.co.id"", ""phone"": ""0711-826043 / 0711-826043""}",3200000,2400000,4000000,6400000,4800000,8000000,-1,-1,-1,-1,-1
135,STEBI GLOBAL MULIA CIKARANG,-1,-,KAB. BEKASI,PROV. JAWA BARAT,"{""website"": ""www.globalmulia.ac.id"", ""email"": ""stebi@globalmulia.ac.id"", ""phone"": ""02189323055""}",3200000,3200000,3200000,6400000,6400000,6400000,-1,-1,-1,-1,-1
136,SEKOLAH TINGGI GURU HURIA HKBP SIPOHOLON,-1,-,KAB. TAPANULI UTARA,PROV. SUMATERA UTARA,"{""website"": ""https://stghhkbp.ac.id"", ""email"": ""stghhkbp01@gmail.com"", ""phone"": ""081262576110 / 063321596""}",4000000,4000000,4000000,8000000,8000000,8000000,-1,-1,-1,-1,-1
137,UNIVERSITAS MUHAMMADIYAH KOTABUMI,-1,Jln. Hasan Kepala Ratu No. 1052 Sindangsari Kotabumi  Lampung Utara 34517,KAB. LAMPUNG UTARA,PROV. LAMPUNG,"{""website"": ""https://www.umko.ac.id"", ""email"": ""humas@umko.ac.id"", ""phone"": ""+6272422287 / +6272422287""}",5975000,100000,11850000,11950000,200000,23700000,-1,-1,-1,-1,-1
138,STAI SYARIF MUHAMMAD RAHA  MUNA  SULAWESI TENGGARA,-1,Jl. Pendidikan Kel. Raha III Kec. Katobu,KAB. MUNA,PROV. SULAWESI TENGGARA,"{""website"": ""http://staisyarifmuhammad.ac.id"", ""email"": ""stais_raha@yahoo.co.id"", ""phone"": ""04032522586 / 04032522586""}",1150000,300000,2000000,2300000,600000,4000000,-1,-1,-1,-1,-1
139,AKADEMI AKUNTANSI YAI JAKARTA,-1,Jl. P. Diponegoro No 74 Jakarta Pusat,KOTA JAKARTA PUSAT,PROV. D.K.I. JAKARTA,"{""website"": ""www.yai.ac.id"", ""email"": ""webmail@yai.ac.id"", ""phone"": ""3928075 / 3914591""}",6862500,6825000,6900000,13725000,13650000,13800000,-1,-1,-1,-1,-1
140,SEKOLAH TINGGI PENYULUHAN PERTANIAN GOWA,-1,Jl. Malino KM. 7 Romanglompoa Kab. Gowa Provinsi Sulawesi Selatan,KAB. GOWA,PROV. SULAWESI SELATAN,"{""website"": ""www.stppgowa.ac.id"", ""email"": ""stpp@stppgowa.ac.id"", ""phone"": ""0411-861127 / 0411-861127/8210117""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
141,UNIVERSITAS POTENSI UTAMA,-1,Jl. K.L. Yos Sudarso Km 6 5 No. 3A Tanjung Mulia - Medan,KOTA MEDAN,PROV. SUMATERA UTARA,"{""website"": ""www.potensi-utama.ac.id"", ""email"": ""info@potensi-utama.ac.id"", ""phone"": ""061-6640525 / 061-6636830""}",5162500,350000,9975000,10325000,700000,19950000,-1,-1,-1,-1,-1
142,SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA BENGKULU,-1,Jalan Kinibalu 8 Kebun Tebeng Bengkulu,KOTA BENGKULU,PROV. BENGKULU,"{""website"": ""stikesbhaktihusada.ac.id"", ""email"": ""stikesbh03@gmail.com"", ""phone"": ""0736-23422 / 0736-23422""}",2200000,400000,4000000,4400000,800000,8000000,-1,-1,-1,-1,-1
143,UNIVERSITAS KATOLIK DE LA SALLE,-1,Kairagi I Kombos Manado  Sulawesi Utara,KOTA MANADO,PROV. SULAWESI UTARA,"{""website"": ""https://unikadelasalle.ac.id"", ""email"": ""info@unikadelasalle.ac.id"", ""phone"": ""081143901500""}",9635000,15000,19255000,19270000,30000,38510000,-1,-1,-1,-1,-1
144,STI EKONOMI SYARI`AH BAKTIYA ACEH UTARA,-1,Jln. Blang Glumpang  Gampong Alue Serdang  Kecamatan Baktiya  Kabupaten Aceh Utara,KAB. ACEH UTARA,PROV. ACEH,"{""website"": ""sties-baktiya.ac.id"", ""email"": ""sties_baktiya@yahoo.com"", ""phone"": ""0852 6031 7375""}",800000,800000,800000,1600000,1600000,1600000,-1,-1,-1,-1,-1
145,AKADEMI MANAJEMEN BISNIS KENDARI,-1,-,KOTA KENDARI,PROV. SULAWESI TENGGARA,"{""website"": ""www.ambkendari.ac.id"", ""email"": ""amb.kdi001@gmail.com"", ""phone"": """"}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,UNIVERSITAS MUHAMMADIYAH METRO,-1,Jl Ki Hajar Dewantara No 116 Iringmulyo Kec Metro Timur,KOTA METRO,PROV. LAMPUNG,"{""website"": ""www.ummetro.ac.id"", ""email"": ""info@ummetro.ac.id"", ""phone"": ""42445-42454 / 42445""}",24057500,1,48115000,48115001,2,96230000,-1,-1,-1,-1,-1
147,POLITEKNIK BELITUNG,-1,-,KAB. BELITUNG,PROV. BANGKA BELITUNG,"{""website"": ""polbel.ac.id"", ""email"": ""polbel21@gmail.com"", ""phone"": ""0719 - 24970""}",3775000,2400000,5150000,7550000,4800000,10300000,-1,-1,-1,-1,-1
148,STIT DINIYYAH PUTERI RAHMAH EL-YUNUSIYYAH KOTA PADANG PANJANG,-1,Jl. Abdul Hamid Hakim  No. 30. Padang Panjang  Sumatera Barat,KOTA PADANG PANJANG,PROV. SUMATERA BARAT,"{""website"": ""http://www.stit-diniyyahputeri.ac.id"", ""email"": ""stitdinput@yahoo.co.id"", ""phone"": ""83554 / 84594""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,STT TABERNAKEL INDONESIA SURABAYA,-1,Jl. JOHOR No. 47,KOTA SURABAYA,PROV. JAWA TIMUR,"{""website"": ""www.sttia.ac.id"", ""email"": ""info@sttia.ac.id"", ""phone"": ""0313557045 / 0313521298""}",150000,100000,200000,300000,200000,400000,-1,-1,-1,-1,-1
