institution_code,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
quipper-143,Institut Ilmu Al-Qur'an (IIQ) Jakarta,Institut Swasta,https://campus.quipper.com/directory/institut-ilmu-al-qur-an-iiq-jakarta,Rp3.200.000 per semester,2641,79,"{""website"": ""www.iiq.ac.id"", ""email"": ""iiq@iiq.ac.id"", ""phone"": ""+622174705154""}","Institut Ilmu Al-Qur’an (IIQ) Jakarta berdiri pada tanggal 12 Rabiul Awwal 1397 H/ 1 April 1977 M dibawah naungan Yayasan Affan (saat ini dinaungi Yayasan Institut Ilmu Al-Qur’an (YIIQ)). Pada mulanya, Institut Ilmu Al-Qur’an (IIQ) Jakarta hanya membuka program magister khusus wanita, tetapi saat ini IIQ telah menyediakan program sarjana (khusus wanita), magister, dan doktor.",{}
quipper-144,Sekolah Tinggi Ilmu Kesehatan RS Baptis Kediri,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-rs-baptis-kediri,Rp3.000.000 - Rp3.500.000 per semester,346,31,"{""website"": ""www.stikesbaptis.ac.id"", ""email"": ""stikes_rsbaptis@yahoo.co.id"", ""phone"": ""0354683470""}","Sekolah Tinggi Ilmu Kesehatan (STIKES) RS Baptis Kediri telah meluluskan sekitar 55.000 alumni yang profesional di dunia kesehatan. Saat ini, STIKES RS Baptis Kediri menyediakan tiga jenjang pendidikan yaitu program diploma, program sarjana, dan program profesi. Bagi Quipperian yang berminat melanjutkan studi di bidang kesehatan, kalian dapat mempertimbangkan kampus ini!",{}
quipper-145,Sekolah Tinggi Intelijen Negara (STIN),Lainnya,https://campus.quipper.com/directory/sekolah-tinggi-intelijen-negara,Gratis,300,35,"{""website"": ""www.stin.ac.id"", ""email"": ""info.ptb@stin.ac.id"", ""phone"": ""081223849840""}","Sekolah Tinggi Intelijen Negara (STIN) berdiri pada tahun 2003 dengan nama Institut Intelijen Negara (IIN). Namun, pada tahun 2004, tepatnya saat perkuliahan dimulai, IIN berubah nama menjadi STIN sampai saat ini. STIN menyediakan dua jenjang pendidikan yaitu sarjana dan magister terapan. FYI, sesuai Undang-Undang Nomor 17 Tahun 2011, alumni STIN menjadi sumber daya manusia utama untuk bekerja di Badan Intelijen Negara (BIN). Seru banget ya, Quipperian!",{}
quipper-146,STIKES Katolik St. Vincentius A Paulo (STIKVINC) Surabaya,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-katolik-st-vincentius-a-paulo-stikvinc-surabaya,Rp5.775.000-Rp6.275.000 per semester,588,31,"{""website"": ""www.stikvinc.ac.id"", ""email"": ""sekretariat@stikvinc.ac.id"", ""phone"": ""+62315612220""}","STIKES Katolik St. Vincentius A Paulo (STIKVINC) Surabaya berdiri atas dasar banyaknya pasien di Rumah Sakit Katolik St. Vincentius a Paulo Surabaya (RKZ) sehingga jumlah perawat kurang. Pada tahun 1954, para suster membuka Sekolah Pendidikan Perawat, sekolah inilah yang menjadi cikal bakal berdirinya STIKVINC atau dikenal juga dengan STIKES RKZ Surabaya.",{}
quipper-147,Sekolah Tinggi Manajemen Informatika dan Komputer Jakarta STI&K,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-manajemen-informatika-dan-komputer-jakarta-sti-k,Rp750.000 - Rp1.000.000 per semester,801,80,"{""website"": ""www.jak-stik.ac.id"", ""email"": ""info@jak-stik.ac.id"", ""phone"": ""(021) 739 7973""}","Sekolah Tinggi Manajemen Informatika dan Komputer Jakarta STI&K (STMIK Jakarta STI&K) didirikan pada tahun 1978 dengan nama Institut Ilmu Komputer (IIK). Kemudian pada tahun 1990 IIK resmi berubah nama menjadi STMIK Jakarta STI&K. Saat ini, STMIK Jakarta STI&K menyediakan empat program studi yaitu D3 Manajemen Informatika, S1 Sistem Informasi, S1 Sistem Komputer, dan S2 Teknologi Informasi.",{}
quipper-148,Universitas Muhammadiyah Semarang,Universitas Swasta,https://campus.quipper.com/directory/universitas-muhammadiyah-semarang,Rp1.200.000 - Rp24.000.000 per semester,12315,359,"{""website"": ""www.unimus.ac.id"", ""email"": ""sekretariat@unimus.ac.id"", ""phone"": ""024 - 74760296""}","Universitas Muhammadiyah Semarang (Unimus) berdiri pada tahun 1999 hasil kerja sama para pemimpin Muhammadiyah di Jawa Tengah. Hadirnya Unimus merupakan hasil penggabungan dari beberapa perguruan tinggi Muhammadiyah, mulai dari akademi keperawatan, akademi gizi, dan akademi analis kesehatan. Hal ini membuat studi di bidang kesehatan menjadi salah satu andalan di kampus Unimus. Selain di tingkat nasional, Unimus juga memperluas jaringan kerja sama hingga ke Jepang lho Quipperian.",{}
quipper-149,Sekolah Tinggi Agama Katolik Negeri Pontianak,Sekolah Tinggi Negeri,https://campus.quipper.com/directory/sekolah-tinggi-agama-katolik-negeri-pontianak,Rp600.000-Rp5.000.000 per semester,831,36,"{""website"": ""www.stakatnpontianak.ac.id"", ""email"": ""info@stakatnpontianak.ac.id"", ""phone"": ""0561-6710424""}","Sekolah Tinggi Agama Katolik Negeri Pontianak (STAKatN Pontianak) adalah sekolah tinggi Katolik pertama di Indonesia yang berstatus negeri. Awalnya, kampus ini berdiri sebagai perguruan tinggi swasta dengan nama Sekolah Tinggi Pastoral (STP) St. Agustinus, Keuskupan Agung Pontianak yang berdiri sejak tahun 2006. STAKatN Pontianak diresmikan oleh Menteri Agama RI Lukman Hakim Syaifudin di Kubu Raya pada 6 April 2017.",{}
quipper-150,Sekolah Tinggi Filsafat Teologi Widya Sasana,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-filsafat-teologi-widya-sasana,,463,20,"{""website"": ""www.stfwidyasasana.ac.id"", ""email"": ""stftws@gmail.com"", ""phone"": ""0341552120""}","Sekolah Tinggi Filsafat Teologi (STFT) Widya Sasana berdiri pada tahun 1971 karena penyatuan Seminari Tinggi CM Kediri dan Seminari Tinggi Ordo Karmel Batu. Saat ini, STFT Widya Sasana menyediakan tiga jenjang pendidikan yaitu S1 Filsafat Keilahian, S2 Filsafat, dan S3 Teologi. Semua program studi tersebut telah terakreditasi oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT). Jika Quipperian memiliki minat terhadap ilmu filsafat, kalian dapat melanjutkan studi ke kampus ini!",{}
quipper-151,Sekolah Tinggi Ilmu Manajemen Budi Bakti,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-manajemen-budi-bakti,Rp1.200.000 - Rp1.800.000 per semester,493,41,"{""website"": ""https://stimbudibakti.ac.id/"", ""email"": ""admin@stimbudibakti.ac.id"", ""phone"": ""0251-8606509, 082111785006""}","Sekolah Tinggi Ilmu Manajemen Budi Bakti (STIM Budi Bakti) dibangun pada tahun 2002. Awalnya, sekolah tinggi ini berada di bawah naungan Yayasan Pendidikan Ilmu Bakti, lalu pengelolaannya beralih ke Yayasan Dompet Dhuafa Republika pada tahun 2019. Sejak awal berdiri, STIM Budi Bakti memiliki 5 prinsip people campus: accesable, empowerment, social impact, dedication, dan local wisdom. Terbentuknya prinsip ini sejalan dengan tekad untuk mewujudkan visi dan misi kampus ini, yaitu menjadi people campus yang terdepan dalam menghasilkan lulusan berkarakter sosiotechnopreneur.",{}
quipper-152,STIE Jakarta International College,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stie-jakarta-international-college,Rp7.170.000-Rp12.200.000 per tahun,1212,32,"{""website"": ""www.jic-stie.ac.id"", ""email"": ""info-business-school@jic.ac.id"", ""phone"": ""021-420 7238, 021-425 7368, 021-425 7369""}","Cikal bakal STIE Jakarta International College adalah STIE Setiabudi yang berasal dari Akademi Keuangan dan Perbankan Setiabudi (Akademi Bank Nasional) yang berdiri di bawah naungan Yayasan Pendidikan Setiabudi. Kampus ini berhasil mendapatkan akreditasi B oleh BAN-PT dan sudah menggunakan kurikulum berbasis nasional dan internasional yang ter-update, guna menopang kompetensi mahasiswa di dunia kerja. Selama masa studi, mahasiswa STIE Jakarta International College akan dibekali dengan beragam sertifikasi kompetensi seperti seminar, kegiatan kampus, dan sertifikat pendukung lainnya. Terdapat dua pilihan kelas yang tersedia di kampus ini, yaitu kelas reguler dengan jam perkuliahan pagi dan kelas profesional dengan jam perkuliahan malam. Yuk, simak dulu profil lengkapnya!",{}
quipper-153,Institut Bisnis dan Informatika Kwik Kian Gie,Institut Swasta,https://campus.quipper.com/directory/institut-bisnis-dan-informatika-kwik-kian-gie,14.500.000 per-semester,2784,102,"{""website"": ""kwikkiangie.ac.id"", ""email"": ""rektorat@kwikkiangie.ac.id"", ""phone"": ""021-65307062""}","Cikal bakal berdirinya Institut Bisnis dan Informatika Kwik Kian Gie bermula dari inisiatif dua tokoh penting di Indonesia. Dengan semangat untuk berkontribusi membangun Indonesia melalui pendidikan, Kwik Kian Gie dan Djoenaedi Joesoef sepakat mendirikan lembaga pendidikan bertaraf internasional. Kwik Kian Gie adalah ekonom yang berkecimpung dalam dunia politik. Beliau pernah menjabat Menko Ekuin dan Kepala Bapenas pada pemerintahan Presiden Abdurrahman Wahid. Djoenaedi Joesoef adalah pendiri PT Konimex yang berpusat di Solo. Beliau adalah penerima anugerah Entrepreneur of The Year 2003 dari lembaga Ernst & Young, sebuah penghargaan yang mengakui kiprahnya sebagai pengusaha tingkat dunia. Di tahun 1987, kedua tokoh berprestasi ini mendirikan Institut Bisnis Indonesia (IBiI) dan Yayasan Institut Bisnis Indonesia sebagai pengelolanya.",{}
quipper-154,Institut PTIQ Jakarta,Institut Swasta,https://campus.quipper.com/directory/institut-ptiq-jakarta,Rp1.250.000 - Rp2.500.000 per semester,4788,106,"{""website"": ""www.ptiq.ac.id"", ""email"": ""humas@ptiq.ac.id"", ""phone"": ""(+6221) 7690901""}","Institut Perguruan Tinggi Ilmu Al-Qur’an (Institut PTIQ) Jakarta didirikan pada 1 April 1971 oleh Yayasan Ihya Ulumudin. Namun, pada tanggal 12 Mei 1973 pengelolaan institut ini diserahkan kepada Yayasan Pendidikan Al-Qur’an. Awalnya, PTIQ hanya memiliki dua fakultas yaitu Syariah dan Ushuluddin. Kini PTIQ telah memiliki empat fakultas yaitu Syariah, Ushuluddin, Dakwah, dan Tarbiyah serta telah membuka Program Pascasarjana.",{}
quipper-155,Sekolah Tinggi Ilmu Kesehatan Santo Borromeus,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-santo-borromeus,Rp10.000.000 kisaran per-semester,314,44,"{""website"": ""www.stikesborromeus.ac.id"", ""email"": ""sekretariat@stikesborromeus.ac.id"", ""phone"": ""022-6803961""}","Sekolah Tinggi Ilmu Kesehatan Santo Borromeus (STIKes Santo Borromeus) telah mencetak ribuan lulusan sejak tahun 1926. Sempat berdiri sebagai Akademi Keperawatan (AKPER), Santo Borromeus didirikan oleh Yayasan Pendidikan Kesehatan Borromeus dan berkedudukan di Kabupaten Bandung Barat. STIKes Santo Borromeus menyelenggarakan pendidikan tinggi kesehatan secara profesional dengan disiplin dan semangat Iman Kristiani, siap mengabdi kepada masyarakat dengan menjunjung tinggi nilai-nilai kemanusiaan sesuai falsafah Pancasila, UUD 1945, dan Guiding Principle of Carolus Borromeus.",{}
quipper-156,Bina Insani University,Universitas Swasta,https://campus.quipper.com/directory/perguruan-tinggi-bina-insani,,1356,71,"{""website"": ""www.binainsani.ac.id"", ""email"": ""info@binainsani.ac.id"", ""phone"": ""021-82436886, 021-82436996""}","Bina Insani University (BiU) bermula dari tiga sekolah tinggi yang memiliki konsentrasi pendidikan berbeda, yakni pada bidang manajemen informatika dan komputer, akuntansi, serta sekretasi dan manajemen. Kampus yang berlokasi di area strategis dan dekat dengan pusat industri di Kota Bekasi ini memiliki tagline utama, yakni ""Cepat Lulus, Cepat Kerja, dan Cepat Sukses"". Wah, pasti harapan yang sama juga ada dibenakmu ya, Quipperian!",{}
quipper-157,Institut Teknologi dan Bisnis Ahmad Dahlan,Institut Swasta,https://campus.quipper.com/directory/institut-teknologi-dan-bisnis-ahmad-dahlan,,,,"{""website"": ""www.itb-ad.ac.id"", ""email"": ""info@itb-ad.ac.id"", ""phone"": ""085891195646""}","ITB Ahmad Dahlan (ITB-AD) merupakan perguruan tinggi yang menekankan pada karakter socio-technopreneur, yaitu karakter yang memiliki jiwa penolong, memiliki kompetensi dalam bidang teknikal digital dan riset, serta mampu mengembangkan jiwa entrepreneurship. Sebagai perguruan tinggi milik persyarikatan Muhammadiyah, ITB-AD juga ingin berkontribusi dan memberikan solusi terhadap masa depan kegiatan bisnis digital berbasis industri kreatif.",{}
quipper-158,Universitas Langlangbuana,Universitas Swasta,https://campus.quipper.com/directory/universitas-langlangbuana,Rp4.000.000-Rp7.500.000,7872,259,"{""website"": ""www.unla.ac.id"", ""email"": ""info@unla.ac.id"", ""phone"": ""022-4218084""}",Berdirinya Universitas Langlangbuana (UNLA) pada awal tahun 1980 diprakarsai oleh beberapa purnawirawan Polri yang peduli terhadap pendidikan yang berdomisili di Bandung dan cendikiawan dari Universitas Padjadjaran. Setelah mendapatkan restu oleh Kadapol VIII Langlangbuana Jabar (sekarang Polda Jabar) Universitas Langlangbuana didirikan secara resmi oleh Yayasan Pendidikan Tri Bhakti (disingkat YPTB) pada tahun 1982.,{}
quipper-159,Universitas Indonesia Maju,Universitas Swasta,https://campus.quipper.com/directory/universitas-indonesia-maju,Rp6.000.000 per semester,2971,175,"{""website"": ""www.uima.ac.id"", ""email"": ""uima@uima.ac.id"", ""phone"": ""021-78894043""}","Universitas Indonesia Maju adalah perguruan tinggi swasta yang terbentuk dari penggabungan sekolah tinggi yang berada di bawah naungan Yayasan Indonesia Maju, yakni Sekolah Tinggi Ilmu Kesehatan Indonesia Maju (STIKIM) dan Sekolah Tinggi Ilmu Komunikasi Indonesia Maju (STIKOM-IMA). Sejak penyelenggaraan pendidikan dalam bentuk universitas disetujui oleh Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi pada tanggal 17 Januari 2022, kedua sekolah tinggi tersebut berubah menjadi Fakultas Kesehatan dan Fakultas Ilmu Komunikasi di Universitas Indonesia Maju.",{}
quipper-160,Politeknik Transportasi Darat Indonesia - STTD,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-transportasi-darat-indonesia,Rp4.800.000 ​per semester,912,228,"{""website"": ""ptdisttd.ac.id"", ""email"": ""info@ptdisttd.ac.id"", ""phone"": ""021-8254640""}","Cikal bakal Politeknik Transportasi Darat Indonesia bermula dari Akademi Lalu Lintas (ALL) yang didirikan oleh Presiden Ir. H. Soekarno pada tahun 1951. Namun pada tahun 1980, akademi ini berubah menjadi Balai Pendidikan dan Latihan Ahli Lalu Lintas Angkutan Jalan Raya (BPL-ALLAJR). Sebagai upaya untuk memenuhi kebutuhan kualifikasi tenaga ahli yang lebih tinggi serta perkembangan sistem pendidikan yang ada, maka pada tanggal 10 Maret 2000, status BPL-ALLAJR ditingkatkan menjadi Sekolah Tinggi Transportasi Darat (STTD). Kemudian pada tahun 2019 barulah ditingkatkan kembali menjadi Politeknik Transportasi Darat Indonesia - STTD. Adapun progam pendidikan yang disediakan oleh perguruan tinggi yang bernaung di bawah Kementerian Perhubungan ini adalah 2 Program Diploma 3, 2 Program Diploma 4, dan 2 Program Magister Terapan.",{}
quipper-161,Institut Agama Kristen Negeri Palangka Raya,Institut Negeri,https://campus.quipper.com/directory/institut-agama-kristen-negeri-palangka-raya,Rp750.000-Rp4.000.000 per semester,1241,48,"{""website"": ""www.iaknpky.ac.id"", ""email"": ""stakn.palangkaraya2010@gmail.com"", ""phone"": ""0536-3241811, 0536-3241812""}","Sebelum menjadi Institut Agama Kristen Negeri (IAKN) Palangka Raya seperti yang kita kenal sekarang, awalnya kampus ini bernama Akademi Teologi Jurusan Pendidikan Agama Kristen (PAK) yang merupakan bagian dari Akademi Teologi Banjarmasin. Akademi tersebut didirikan pada tahun 1985 oleh Gereja Kalimantan Evangelis (GKE) dengan tujuan menyiapkan tenaga pendidik atau guru agama Kristen yang andal dalam rangka mencerdaskan kehidupan bangsa. Pada tahun 1986, GKE meningkatkan status akademi menjadi Institut Agama Kristen “Eka Sinta” GKE Palangka Raya.",{}
quipper-162,Politeknik Pelayaran Surabaya,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-pelayaran-surabaya,Rp1.800.000 - Rp9.100.000 per semester,1226,73,"{""website"": ""www.poltekpel-sby.ac.id"", ""email"": ""info@poltekpel-sby.ac.id"", ""phone"": ""031-8714673, 8714643""}","Politeknik Pelayaran Surabaya berada di bawah naungan Kementerian Perhubungan Indonesia. Pada awal berdirinya, kampus ini bernama Balai Pendidikan dan Pelatihan Ilmu Pelayaran (BP2IP) Surabaya. Politeknik Pelayaran Surabaya siap mendidik tarunanya menjadi GIAT, yang merupakan akronim dari Gigih, Integritas, Amanah, dan Terampil. Nah, apakah Quipperian sedang mencari kampus di bidang pelayaran? Yuk, kenali kampus ini lebih jauh!",{}
quipper-163,Universitas 17 Agustus 1945 Cirebon,Universitas Swasta,https://campus.quipper.com/directory/universitas-17-agustus-1945-cirebon,Rp3.500.000 kisaran per-semester,1651,95,"{""website"": ""www.untagcirebon.ac.id"", ""email"": ""akademik_center@untagcirebon.ac.id"", ""phone"": ""0231-481945""}","Sejarahnya, Universitas 17 Agustus 1945 Cirebon (UNTAG Cirebon) didirikan pada tanggal 2 September 1962 sebagai cabang dari UNTAG Jakarta. Pendirian UNTAG Cirebon tidak terlepas dari perjuangan tokoh-tokoh yang semula mendirikan Akademi Pimpinan Perusahaan (APP) Cirebon pada tahun 1961 yang dipimpin oleh D. Usman Imam sebagai Direktur APP Cirebon. Karena APP Cirebon tidak berhasil mempertahankan eksistensinya, maka perwakilian mahasiswa akademi tersebut memutuskan untuk berangkat ke Jakarta dan menemui Prof. Dr. Prajudi Atmosudirdjo yang saat itu menjadi Rektor Magnificus. Berdasarkan saran beliau, maka dibentuklah UNTAG Cirebon yang dilengkapi dengan susunan Pimpinan Yayasan dan Universitas. Sejak tahun 1975, UNTAG Cirebon resmi melepaskan diri dari induknya di Jakarta dan berdiri di bawah naungan Yayasan Perguruan Tinggi 17 Agustus 1945 Cirebon.",{}
quipper-164,STIKes Bhakti Mulia,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-bhakti-mulia,Rp6.500.000 per semester,169,19,"{""website"": ""www.stikesbhaktimulia.ac.id"", ""email"": ""stikesbhaktimulia@gmail.com"", ""phone"": ""0354395455""}","Sekolah Tinggi Ilmu Kesehatan (STIKes) Bhakti Mulia merupakan perguruan tinggi yang didirikan oleh Yayasan Pendidikan Bhakti Mulia pada tahun 2006. Saat awal berdiri, kampus ini hanya membuka dua program studi yaitu Profesi Ners dan D3 Kebidanan. Namun, seiring berjalannya waktu, STIKES Bhakti Mulia menambah program studi dan jenjang pendidikan baru yaitu Sarjana Ilmu Keperawatan.",{}
quipper-165,Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-ahmad-dahlan-cirebon,Rp7.775.000 - Rp13.075.000,246,12,"{""website"": ""stikes-adc.ac.id"", ""email"": ""info_akpermuh@akpermuh.ac.id"", ""phone"": ""0231-201942""}","Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon merupakan bentuk transformasi dari Akademi Keperawatan (Akper) Muhammadiyah Cirebon yang diresmikan sejak bulan Oktober 2020. STIKes Ahmad Dahlan Cirebon menyediakan pembelajaran dengan kurikulum kekinian yang sesuai dengan kebutuhan instansi kesehatan yang ada di Indonesia, khususnya di Wilayah 3 Cirebon.",{}
quipper-166,Institut Kesenian Jakarta,Institut Swasta,https://campus.quipper.com/directory/institut-kesenian-jakarta-lpkj,Rp6.500.000 - Rp35.000.000 per semester,2805,125,"{""website"": ""www.ikj.ac.id"", ""email"": ""info@ikj.ac.id"", ""phone"": ""+62 21-3924018""}","Awalnya Institut Kesenian Jakarta (IKJ) merupakan sebuah Lembaga Pendidikan Kesenian Jakarta (LPKJ) berbentuk sanggar yang didirikan pada tahun 1970 oleh Gubernur DKI Jakarta Ali Sadikin. Kemudian pada tahun 1980, LPKJ kian berkembang dan berganti nama menjadi Institut Kesenian Jakarta. Saat ini, IKJ terdiri atas berbagai program studi yang terangkum dalam tiga Fakultas, yakni: Fakultas Film dan Televisi (FFTV), Fakultas Seni Rupa (FSR), Fakultas Seni Pertunjukan (FSP) serta ditambah dengan Sekolah Pascasarjana. Sebagian program studi telah meraih akreditasi dari Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT).",{}
quipper-167,Politeknik Negeri Nunukan,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-negeri-nunukan,Rp500.000 - Rp2.500.000 per semester,366,40,"{""website"": ""www.pnn.ac.id"", ""email"": ""humas@pnn.ac.id"", ""phone"": null}","Politeknik Negeri Nunukan (PNN) sebelumnya berada di bawah binaan Politeknik Negeri Samarinda. Namun, kini telah berubah status menjadi perguruan tinggi negeri dan berdiri sendiri. Saat ini, PNN menjadi satu-satunya Politeknik Negeri di Provinsi Kalimantan Utara dan menyediakan empat program studi. PNN menawarkan biaya kuliah yang terjangkau, didukung dengan pengajar berpengalaman, serta fasilitas yang memadai.",{}
quipper-168,Sekolah Tinggi Perpajakan Indonesia,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-perpajakan-indonesia,Rp3.000.000 - Rp7.500.000 per semester,864,25,"{""website"": ""www.stpi-pajak.ac.id"", ""email"": ""info@stpi-pajak.ac.id"", ""phone"": ""(021) 8513390 / (021) 85908938""}","Sekolah Tinggi Perpajakan Indonesia (STPI) merupakan satu-satunya sekolah tinggi perpajakan di Indonesia yang didirikan dan diasuh oleh para pejabat Direktorat Jenderal Pajak (DJP), pejabat Departemen Keuangan, dan para konsultan pajak ternama. Saat ini, STPI menyediakan satu program studi yaitu D4 Perpajakan yang telah terakreditasi B oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT). Nantinya para lulusan akan mendapatkan gelar Sarjana Terapan Pajak (STr.Pa.).",{}
quipper-169,Politeknik Pertanian Negeri Payakumbuh (POLITANI),Politeknik Negeri,https://campus.quipper.com/directory/politeknik-pertanian-negeri-payakumbuh-politani,,1846,170,"{""website"": ""www.politanipyk.ac.id"", ""email"": ""sekretariat@politanipyk.ac.id"", ""phone"": ""07527754192""}","Politeknik Pertanian Negeri Payakumbuh (POLITANI) didirikan pada tahun 1980 dengan nama Politeknik Pertanian Universitas Andalas. Kemudian pada bulan Oktober 2014, Politeknik Pertanian Universitas Andalas berubah nama menjadi Politeknik Pertanian Negeri Payakumbuh. Saat ini, Politeknik Pertanian Negeri Payakumbuh memiliki berbagai macam program studi yang berfokus pada bidang pertanian, perkebunan, dan teknologi pangan.",{}
quipper-170,Sekolah Tinggi Ilmu Kesehatan Sint Carolus,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-sint-carolus,Rp9.900.000 - Rp22.500.000 per semester,525,37,"{""website"": ""www.stik-sintcarolus.ac.id"", ""email"": ""stiksc@stik-sintcarolus.ac.id"", ""phone"": ""021-3904441""}","Sekolah Tinggi Ilmu Kesehatan Sint Carolus adalah salah satu sekolah tinggi di bidang kesehatan tertua yang ada di Indonesia. Resmi berdiri sejak 1962 di bawah naungan Yayasan Pendidikan Kesehatan Carolus Jakarta, sekolah tinggi ini berfokus menyediakan pendidikan ilmu keperawatan, kebidanan, dan gizi. Kampus ini memiliki jaringan kerja sama yang luas, lulusannya banyak diserap menjadi tenaga kesehatan di rumah sakit besar di Indonesia, seperti RS Sint Carolus, RS Persahabatan, RS Pondok Indah, RS Eka Hospital, dan masih banyak lagi. Bukan hanya di Indonesia, alumni STIK Sint Carolus pun banyak yang bekerja di luar negeri seperti Jepang, Belanda, sampai United Arab Emirates, lho. Tertarik mendaftar di kampus ini? Cek dulu profil lengkapnya, yuk!",{}
quipper-171,Sekolah Tinggi Ekonomi Islam SEBI (STEI SEBI),Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ekonomi-islam-sebi-stei-sebi,Rp7.500.000 per semester,1209,41,"{""website"": ""www.sebi.ac.id"", ""email"": ""pmb@sebi.ac.id"", ""phone"": ""0251-8616655, 0251-8604985""}","Sekolah Tinggi Ekonomi Islam SEBI (STEI SEBI) adalah institusi pendidikan yang didirikan oleh Yayasan Bina Tsaqofah dan lahir dari sebuah gagasan untuk menjadi institusi yang memberikan kontribusi bagi kemaslahatan bangsa, negara, umat dan agama. Kontribusi tersebut diwujudkan dalam bentuk edukasi, sosialisasi, konsultasi, implementasi dan penyiapan sumber daya insani di bidang ekonomi dan lembaga keuangan syariah.",{}
quipper-172,Institut Teknologi Bacharuddin Jusuf Habibie,Institut Negeri,https://campus.quipper.com/directory/institut-teknologi-bacharuddin-jusuf-habibie,Rp0-Rp3.000.000 per semester,360,16,"{""website"": ""http://ith.ac.id/"", ""email"": ""rektorat@ith.ac.id"", ""phone"": ""(0421) 2924000""}","Institut Teknologi Bacharuddin Jusuf Habibie (ITBH) merupakan perguruan tinggi negeri yang didirikan pada tahun 2014. Awalnya kampus ini memiliki nama Institut Teknologi B.J. Habibie (ITH). Meskipun kampus ini telah didirikan sejak tahun 2014, tetapi izin operasional resmi baru terbit pada tahun 2021. Saat ini, ITBH baru menyediakan program sarjana dengan tiga program studi yakni Matematika, Sistem Informasi, dan Teknik Informatika.",{}
quipper-173,Politeknik Negeri Kupang,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-negeri-kupang,Kisaran Rp2.000.000 per semester,6164,215,"{""website"": ""www.pnk.ac.id"", ""email"": ""pnkkupang@gmail.com"", ""phone"": ""0380-881245, 0380-881246""}","Saat awal didirikan pada tahun 1985, politeknik ini bernama Politeknik Undana Kupang yang berada di bawah naungan Universitas Nusa Cendana. Barulah di tahun 2004, kampus ini secara resmi melepaskan diri dan berdiri sebagai Politeknik Negeri Kupang. Sebagai lembaga pendidikan profesional, para calon staf pengajar Politeknik Negeri Kupang diwajibkan mengikuti pendidikan kursus selama 10 bulan di Pusat Pengembangan Pendidikan Politeknik Bandung untuk menyeragamkan pola pembelajaran program pendidikan politeknik di seluruh Indonesia.",{}
quipper-174,Sekolah Tinggi Ilmu Ekonomi Cirebon,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-cirebon,Rp5.000.000-Rp15.000.000 per semester (tergantung program studi),267,25,"{""website"": ""www.stiecirebon.ac.id"", ""email"": ""pmb@stiecirebon.ac.id"", ""phone"": ""081111122543""}","Sekolah Tinggi Ilmu Ekonomi Cirebon didirikan pada tanggal 22 Agustus 1996 dengan visi menjadi sekolah ekonomi berbasis Information and Communication Technology (ICT). STIE Cirebon berusaha untuk selalu mengedepankan pengetahuan dan pemahaman tentang ICT untuk menunjang kegiatan ekonomi, bisnis, dan perdagangan. Pembelajaran yang ada di kampus ini pun dirancang untuk memahami dan menguasai kondisi lingkungan yang dinamis, inovatif, dan kreatif yang berlandaskan teknologi mobile computing.",{}
