quipper_institution_code,email,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
33,info@cwe.ac.id,Politeknik Kelapa Sawit Citra Widya Edukasi,Politeknik Swasta,https://campus.quipper.com/directory/politeknik-kelapa-sawit-citra-widya-edukasi,Rp7.500.000 per semester,512,37,"{""website"": ""www.cwe.ac.id"", ""email"": ""info@cwe.ac.id"", ""phone"": ""+6285213835168""}","Politeknik Kelapa Sawit Citra Widya Edukasi (PKS CWE) didirikan pada tahun 2006 di bawah naungan Yayasan Politeknik Kelapa Sawit Citra Widya Edukasi. Saat ini, PKS CWE menyediakan dua jenjang pendidikan yaitu sarjana terapan (Teknologi Rekayasa Perangkat Lunak dan Teknologi Produksi Tanaman Perkebunan) serta diploma 3 (D3 Budidaya Perkebunan Kelapa Sawit, D3 Teknologi Pengolahan Hasil Perkebunan, dan D3 Manajemen Logistik). Selain itu, PKS CWE juga menjalin kerja sama dengan berbagai macam perusahaan sawit nasional seperti  PT Kencana Agri Group, PT Teladan Prima Group, PT Wilmar Plantations Group, dan perusahaan lainnya.",{}
34,info@ipmi.ac.id,IPMI International Business School,Lainnya,https://campus.quipper.com/directory/sekolah-tinggi-manajemen-ipmi,Rp25.000.000 per semester,397,23,"{""website"": ""www.ipmi.ac.id"", ""email"": ""info@ipmi.ac.id"", ""phone"": ""021-7978888""}","IPMI International Business School yang telah berdiri sejak tahun 1984 ini adalah pionir pendidikan Master of Business Administration (MBA) di Indonesia. So, para pengajarnya sudah pasti memiliki latar belakang pengalaman yang mumpuni baik di dunia bisnis maupun eksekutif. Selain itu, kampus ini juga mengoleksi banyak penghargaan, salah satunya meraih peringkat 3 Palmes of Excellence dari Eduniversal Ranking, lembaga pemeringkatan sekolah bisnis dunia yang berbasis di Prancis.",{}
35,info@iahn-gdepudja.ac.id,Institut Agama Hindu Negeri Gde Pudja,Institut Negeri,https://campus.quipper.com/directory/institut-agama-hindu-negeri-gde-pudja,,1118,107,"{""website"": ""https://iahn-gdepudja.ac.id/"", ""email"": ""info@iahn-gdepudja.ac.id"", ""phone"": ""(0370) 628382""}","Institut Agama Hindu Negeri (IAHN) Gde Pudja Mataram merupakan perguruan tinggi di bawah Kementerian Agama Republik Indonesia. Cikal bakal IAHN Gde Pudja Mataram adalah pendirian Pendidikan Guru Agama Hindu (PGAH) Asta Paka pada tahun 1966, yang berubah status menjadi negeri pada tahun 1968 dengan nama PGAHN Mataram. Kemudian pada tahun 1993, PGAHN Mataram dibubarkan dan di tahun 2002 semua asetnya menjadi milik Sekolah Tinggi Agama Hindu Negeri (STAHN) Gde Pudja Mataram. Dikarenakan perkembangannya yang pesat, pada tahun 2020, STAHN berubah menjadi IAHN Gde Pudja Mataram dan telah menyediakan dua fakultas dengan 15 program studi.",{}
36,rektor@unik-kediri.ac.id,Universitas Kadiri,Universitas Swasta,https://campus.quipper.com/directory/universitas-kadiri,Rp3.350.000-Rp8.750.000 per semester,5906,278,"{""website"": ""www.unik-kediri.ac.id"", ""email"": ""rektor@unik-kediri.ac.id"", ""phone"": ""0354-771649""}","Universitas Kadiri didirikan pada 28 Juli 1980 dan merupakan kampus tertua di wilayah Kediri Raya. Pilihan bidang ilmu yang tersedia di kampus ini sangat beragam, mulai dari teknik, ekonomi, pertanian, sosial dan politik, kesehatan, hingga hukum. Secara keseluruhan, Universitas Kadiri memiliki 6 fakultas dengan 23 program studi untuk jenjang sarjana, pascasarjana, dan profesi.",{}
37,info_akpermuh@akpermuh.ac.id,Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-ahmad-dahlan-cirebon,Rp7.775.000 - Rp13.075.000,246,12,"{""website"": ""stikes-adc.ac.id"", ""email"": ""info_akpermuh@akpermuh.ac.id"", ""phone"": ""0231-201942""}","Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon merupakan bentuk transformasi dari Akademi Keperawatan (Akper) Muhammadiyah Cirebon yang diresmikan sejak bulan Oktober 2020. STIKes Ahmad Dahlan Cirebon menyediakan pembelajaran dengan kurikulum kekinian yang sesuai dengan kebutuhan instansi kesehatan yang ada di Indonesia, khususnya di Wilayah 3 Cirebon.",{}
38,info@ubk.ac.id,Universitas Bung Karno (UBK),Universitas Swasta,https://campus.quipper.com/directory/universitas-bung-karno,Rp5.000.000 per semester,4449,125,"{""website"": ""www.ubk.ac.id"", ""email"": ""info@ubk.ac.id"", ""phone"": ""021-3928540, 3929591""}","Sebagai salah satu wujud pengabdian di bidang pendidikan, Yayasan Pendidikan Soekarno yang diprakarsai oleh oleh Ibu Hj. DR (HC) Rachmawati Soekarnoputri, SH, MH. mendirikan perguruan tinggi Institut Ilmu Pengetahuan dan Kebudayaan Bung Karno pada tahun 1983. Selang 16 tahun kemudian tepatnya di tahun 1999, institusi ini resmi bertransformasi menjadi Universitas Bung Karno.",{}
39,info@iaknmanado.ac.id,Institut Agama Kristen Negeri Manado,Institut Negeri,https://campus.quipper.com/directory/institut-agama-kristen-negeri-manado,Rp400.000-Rp2.000.000 per semester,2526,100,"{""website"": ""www.iaknmanado.ac.id"", ""email"": ""info@iaknmanado.ac.id"", ""phone"": ""0431-831732""}","Institusi Agama Kristen Negeri (IAKN) Manado didirikan pada tahun 1949 dengan tujuan untuk memberikan pendidikan agama Kristen yang berkualitas kepada masyarakat. Sebelumnya, kampus ini dikenal sebagai Sekolah Tinggi Agama Kristen Negeri (STAKN) Manado. IAKN Manado menawarkan beberapa program studi yaitu teologi, pendidikan agama Kristen, serta seni dan ilmu keagamaan Kristen untuk jenjang sarjana dan pascasarjana.",{}
40,humas@usni.ac.id,Universitas Satya Negara Indonesia,Universitas Swasta,https://campus.quipper.com/directory/universitas-satya-negara-indonesia,,2654,94,"{""website"": ""www.usni.ac.id"", ""email"": ""humas@usni.ac.id"", ""phone"": ""021-7398393""}","Quipperian, Universitas Satya Negara Indonesia (USNI) merupakan kampus yang sudah berdiri sejak 1989. USNI telah terakreditasi B oleh Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT) serta memiliki visi menjadi perguruan tinggi yang unggul dalam pengembangan ilmu pengetahuan, teknologi, dan seni yang berorientasi kewirausahaan dan profesional di tingkat nasional pada tahun 2025. Saat ini, USNI memiliki 4 fakultas yang terdiri atas berbagai macam bidang keilmuan.",{}
41,info@unusa.ac.id,Universitas Nahdlatul Ulama Surabaya,Universitas Swasta,https://campus.quipper.com/directory/universitas-nahdlatul-ulama-surabaya,Rp5.000.000 - Rp31.000.000 per semester,6078,237,"{""website"": ""www.unusa.ac.id"", ""email"": ""info@unusa.ac.id"", ""phone"": ""+62318479070""}","Universitas Nahdlatul Ulama Surabaya (UNUSA) merupakan perguruan tinggi yang didirikan oleh Yayasan Rumah Sakit Islam Surabaya (YARSIS) pada tahun 2013. Saat ini, UNUSA terdiri atas lima fakultas yang menyediakan beberapa jenjang pendidikan di antaranya diploma, sarjana, magister, dan profesi. Yuk, simak profil berikut untuk mengetahui lebih banyak informasi terkait kampus ini!",{}
42,admin@sttii-surabaya.ac.id,Sekolah Tinggi Teologi Injili Indonesia Surabaya,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-teologi-injili-indonesia-surabaya,Rp1.200.000-Rp7.250.000 per semester,178,29,"{""website"": ""www.sttii-surabaya.ac.id"", ""email"": ""admin@sttii-surabaya.ac.id"", ""phone"": ""031-8410772, 081331162803""}","Sekolah Tinggi Teologi Injili Indonesia (STTII) Surabaya didirikan oleh Dr. Chris Marantika sebagai founder pertama dari STTII dan Dr. Juhari Iswanto sebagai presiden pertama STTII. Kampus ini merupakan cabang dari kampus STTII Yogyakarta. Saat ini, STTII Surabaya menyediakan pendidikan untuk jenjang sarjana, magister, dan doktor dengan pilihan program studi Teologi dan Pendidikan Agama Kristen. Khusus program sarjana, kampus ini menyediakan asrama dan membuka dua jenis kelas perkuliahan yaitu kelas reguler dan kelas malam.",{}
43,sekretariat@politanipyk.ac.id,Politeknik Pertanian Negeri Payakumbuh (POLITANI),Politeknik Negeri,https://campus.quipper.com/directory/politeknik-pertanian-negeri-payakumbuh-politani,,1846,170,"{""website"": ""www.politanipyk.ac.id"", ""email"": ""sekretariat@politanipyk.ac.id"", ""phone"": ""07527754192""}","Politeknik Pertanian Negeri Payakumbuh (POLITANI) didirikan pada tahun 1980 dengan nama Politeknik Pertanian Universitas Andalas. Kemudian pada bulan Oktober 2014, Politeknik Pertanian Universitas Andalas berubah nama menjadi Politeknik Pertanian Negeri Payakumbuh. Saat ini, Politeknik Pertanian Negeri Payakumbuh memiliki berbagai macam program studi yang berfokus pada bidang pertanian, perkebunan, dan teknologi pangan.",{}
44,info@ptdisttd.ac.id,Politeknik Transportasi Darat Indonesia - STTD,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-transportasi-darat-indonesia,Rp4.800.000 ​per semester,912,228,"{""website"": ""ptdisttd.ac.id"", ""email"": ""info@ptdisttd.ac.id"", ""phone"": ""021-8254640""}","Cikal bakal Politeknik Transportasi Darat Indonesia bermula dari Akademi Lalu Lintas (ALL) yang didirikan oleh Presiden Ir. H. Soekarno pada tahun 1951. Namun pada tahun 1980, akademi ini berubah menjadi Balai Pendidikan dan Latihan Ahli Lalu Lintas Angkutan Jalan Raya (BPL-ALLAJR). Sebagai upaya untuk memenuhi kebutuhan kualifikasi tenaga ahli yang lebih tinggi serta perkembangan sistem pendidikan yang ada, maka pada tanggal 10 Maret 2000, status BPL-ALLAJR ditingkatkan menjadi Sekolah Tinggi Transportasi Darat (STTD). Kemudian pada tahun 2019 barulah ditingkatkan kembali menjadi Politeknik Transportasi Darat Indonesia - STTD. Adapun progam pendidikan yang disediakan oleh perguruan tinggi yang bernaung di bawah Kementerian Perhubungan ini adalah 2 Program Diploma 3, 2 Program Diploma 4, dan 2 Program Magister Terapan.",{}
45,sekretariat@ikifa.ac.id,Sekolah Tinggi Ilmu Kesehatan IKIFA,Lainnya,https://campus.quipper.com/directory/akademi-farmasi-ikifa,Rp4.000.000 - Rp5.500.000 per semester,929,41,"{""website"": ""www.ikifa.ac.id"", ""email"": ""sekretariat@ikifa.ac.id"", ""phone"": ""021-86615593""}","Sekolah Tinggi Ilmu Kesehatan (STIKes) IKIFA berawal dari Akademi Farmasi IKIFA yang berdiri sejak tahun 2009 di bawah naungan Yayasan Pendidikan IKIFA. Selain itu, STIKes IKIFA juga telah melalui proses reakreditasi dari Lembaga Akreditasi Mandiri Pendidikan Tinggi Kesehatan Indonesia (LAM-PTKes) pada 2017 dengan predikat B. Saat ini, STIKes IKIFA menyediakan dua jenjang pendidikan yaitu S1 Farmasi dan D3 Farmasi.",{}
46,info@narotama.ac.id,Universitas Narotama,Universitas Swasta,https://campus.quipper.com/directory/universitas-narotama,Rp2.100.000-Rp12.000.000 per semester,3337,107,"{""website"": ""www.narotama.ac.id"", ""email"": ""info@narotama.ac.id"", ""phone"": ""031-5946404, 5995578""}","Universitas Narotama adalah salah satu perguruan tinggi swasta di Surabaya yang didirikan pada 8 Februari 1981. Pendirian universitas ini diinisiasi oleh sekelompok dosen Universitas Airlangga (Unair) dan Institut Teknologi Sepuluh Nopember (ITS) serta beberapa tokoh masyarakat di kota Surabaya. Kata ""Narotama"" diambil dari nama seorang tokoh sejarah Mahapatih dari Prabu Airlangga yang menjadi guru ilmu kenegaraan serta guru agama dan ilmu kedigdayaan.",{}
47,info@uinmataram.ac.id,Universitas Islam Negeri Mataram,Universitas Negeri,https://campus.quipper.com/directory/universitas-islam-negeri-mataram,Rp400.000 - Rp4.300.000 per semester (tidak termasuk Pascasarjana),16841,404,"{""website"": ""www.uinmataram.ac.id"", ""email"": ""info@uinmataram.ac.id"", ""phone"": ""0370-621298""}","Berdirinya Universitas Islam Negeri (UIN) Mataram merupakan perwujudan dari gagasan umat Islam Nusa Tenggara Barat yang merupakan penduduk mayoritas untuk mencetak kader pemimpin dan intelektual muslim. Sebelum berbentuk universitas, kampus ini dikenal dengan nama Insitut Agama Islam Negeri (IAIN) Mataram hingga akhirnya resmi beralih status menjadi UIN Mataram pada tanggal 8 April 2017. Kampus ini menawarkan lebih dari 30 pilihan program studi yang terbagi ke dalam enam fakultas, yaitu Fakultas Tarbiyah dan Keguruan, Fakultas Syariah, Fakultas Dakwah dan Ilmu Komunikasi, Fakultas Ushuluddin dan Studi Agama, Fakultas Ekonomi dan Bisnis Islam, serta Pascasarjana.",{}
48,stiesia@stiesia.ac.id,Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-indonesia-surabaya,Rp4.000.000-Rp7.000.000 per semester,3451,108,"{""website"": ""www.stiesia.ac.id"", ""email"": ""stiesia@stiesia.ac.id"", ""phone"": ""031-5947505, 5947840""}","Pada awal pendiriannya di tahun 1972, STIESIA Surabaya bernama Akademi Pajak dan Keuangan (AP&K) Surabaya. Kemudian di tahun 1978, AP&K Surabaya berganti nama menjadi Sekolah Tinggi Pajak dan Keuangan (STIPAK) Surabaya. Pergantian nama AP&K tidak sampai di sini saja, Quipperian. Tahun 1980, STIPAK berganti nama menjadi STIKI (Sekolah Tinggi Keuangan Indonesia). Lalu tahun 1986, STIKI berubah nama menjadi Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya (STIESIA Surabaya) sampai saat ini.",{}
49,info@ppb.ac.id,Politeknik Pariwisata Bali,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-pariwisata-bali,Rp2.350.000 per semester,1620,110,"{""website"": ""www.ppb.ac.id"", ""email"": ""info@ppb.ac.id"", ""phone"": ""+62361773537""}","Politeknik Pariwisata Bali merupakan perguruan tinggi negeri yang didirikan pada tahun 1978 dengan nama Sekolah Tinggi Pariwisata Nusa Dua Bali. Namun, pada tahun 2019, sekolah tinggi tersebut resmi alih status menjadi Politeknik Pariwisata Bali. Politeknik ini berada di bawah naungan Kementerian Pariwisata dan Ekonomi Kreatif dan menyediakan 11 program studi yang terdiri atas delapan program vokasi, dua program sarjana, serta satu program pascasarjana.",{}
50,itsmandala@itsm.ac.id,Institut Teknologi dan Sains Mandala,Institut Swasta,https://campus.quipper.com/directory/institut-teknologi-dan-sains-mandala,Rp2.700.000-Rp6.000.000 per semester,1772,44,"{""website"": ""www.itsm.ac.id"", ""email"": ""itsmandala@itsm.ac.id"", ""phone"": ""0331-321304""}","Institut Teknologi dan Sains (ITS) Mandala adalah bentuk tranformasi dari Sekolah Tinggi Ilmu Ekonomi Mandala yang diresmikan sejak Juli 2022. Seiring dengan peralihan bentuk menjadi institut, ITS Mandala berupaya meningkatkan pengembangan dalam proses pembelajaran berbasis teknologi informasi melalui akses global dan e-learning, penyeimbangan hard skill dan soft skill mahasiswa melalui proses pembelajaran yang berorientasi pada students centered learning, penyediaan sarana dan prasarana lengkap, serta peningkatan kemampuan entrepreneur bagi mahasiswa.",{}
51,campus_sttal@sttal.ac.id,Sekolah Tinggi Teknologi Angkatan Laut,Sekolah Tinggi Negeri,https://campus.quipper.com/directory/sekolah-tinggi-teknologi-angkatan-laut,Gratis,307,72,"{""website"": ""www.sttal.ac.id"", ""email"": ""campus_sttal@sttal.ac.id"", ""phone"": ""031-99000581- 82""}","Sekolah Tinggi Teknologi Angkatan Laut atau STTAL merupakan perguruan tinggi kedinasan yang berlokasi di Jawa Timur dan berada di bawah naungan Tentara Nasional Indonesia Angkatan Laut (TNI AL). Berbeda dengan kampus pada umumnya, calon mahasiswa yang mendaftar di STTAL adalah mereka yang masih aktif di jajaran TNI/Kepolisian Negara Republik Indonesia (POLRI). Umumnya, mereka adalah prajurit yang ditugaskan oleh Mabes alias markas besar masing-masing.",{}
52,info@adihusada.ac.id,STIKES Adi Husada,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-adi-husada,Rp6.600.000 per semester,148,20,"{""website"": ""www.adihusada.ac.id"", ""email"": ""info@adihusada.ac.id"", ""phone"": ""031-3721750""}","Sejarah lahirnya Adi Husada diprakarsai oleh dr. Oie Kiauw Pik di tahun 1923-1924. Kemudian pada tanggal 25 November 1927, berdirilah Perkumpulan Soe Swie Tiong Hwa Ie Wan yang saat ini bernama Perkumpulan Adi Husada. Di tahun 1983, Perkumpulan Adi Husada membangun sebuah lembaga pendidikan yakni Akademi Keperawatan (Akper) Adi Husada. Akper Adi Husada terus beroperasi dan berkembang selama 36 tahun hingga akhirnya mengalami perubahan bentuk menjadi Sekolah Tinggi Ilmu Kesehatan (STIKES) Adi Husada di tahun 2019. Di tahun yang sama, kampus ini berhasil mendapatkan penghargaan sebagai Kampus Unggulan peringkat pertama se-Jawa Timur dari LLDIKTI VII Jatim.",{}
53,,Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan (STIEBP) Jakarta,Lainnya,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-bhakti-pembangunan-jakarta,Rp1.485.000 - Rp3.960.000 per semester,1150,44,"{""website"": ""www.stiebp.ac.id"", ""email"": null, ""phone"": ""0217362445""}","Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan (STIEBP) telah berdiri sejak tahun 1988 dan meraih akreditasi B dari Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT). Saat ini, STIEBP menyediakan 5 program studi yang seluruhnya juga telah terakreditasi B oleh BAN-PT. Adapun 5 program studi tersebut terbagi menjadi 3 jenjang pendidikan yaitu 2 program sarjana (S1), 1 program magister (S2), dan 2 program diploma (D3).",{}
54,,Universitas Mochammad Sroedji,Universitas Swasta,https://campus.quipper.com/directory/universitas-mochammad-sroedji,Rp3.300.000 per semester,892,50,"{""website"": ""www.umsj.ac.id"", ""email"": null, ""phone"": ""085204238529""}","Universitas Mochammad Sroedji atau disingkat dengan UMSJ merupakan perguruan tinggi swasta di Jember, Jawa Timur. Kampus ini menyelenggarakan program studi bidang ekonomi, hukum, pertanian, teknik, dan sebagainya. Salah satu keunggulan UMSJ yakni apabila mahasiswa tidak lulus pada suatu mata kuliah, dapat mengulang di tahun berikutnya tanpa dikenakan biaya tambahan. Perlu Quipperian ketahui, UMSJ juga menyediakan kelas karyawan buat kamu yang ingin kuliah sambil bekerja.",{}
55,infopmb@polman-bandung.ac.id,Politeknik Manufaktur Bandung,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-manufaktur-bandung,Rp500.000 - Rp9.000.000 per semester,1205,94,"{""website"": ""www.polman-bandung.ac.id"", ""email"": ""infopmb@polman-bandung.ac.id"", ""phone"": ""022-2500241""}","Politeknik Manufaktur Bandung atau yang dikenal dengan nama Polman Bandung merupakan salah satu perguruan tinggi negeri vokasi dan politeknik negeri pertama di Indonesia. Saat awal berdiri, politeknik ini bernama Politeknik Mekanik Swiss (PMS-ITB). Pendirian PMS-ITB di tahun 1976 merupakan salah satu hasil perjanjian kerja sama antara Pemerintah Republik Indonesia dengan Pemerintah Konfederasi Swiss. Program studi yang pertama kali dibuka di kampus ini adalah Teknik Pembuatan Perkakas Presisi, Teknik Pemeliharaan Mesin, dan Teknik Gambar.",{}
56,marketing@stpbogor.ac.id​,Sekolah Tinggi Pariwisata Bogor,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-pariwisata-bogor,Rp9.250.000-Rp10.750.000 per semester,395,35,"{""website"": ""www.stpbogor.ac.id"", ""email"": ""marketing@stpbogor.ac.id\u200b"", ""phone"": ""0251-7534343""}","Sekolah Tinggi Pariwisata Bogor (STP Bogor) merupakan sekolah pariwisata pertama di Bogor yang didirikan pada tanggal 11 November 1999. Sebelumnya, kampus ini dikenal sebagai Bogor Hotel Institute (BHI).",{}
57,info@itb-ad.ac.id,Institut Teknologi dan Bisnis Ahmad Dahlan,Institut Swasta,https://campus.quipper.com/directory/institut-teknologi-dan-bisnis-ahmad-dahlan,,,,"{""website"": ""www.itb-ad.ac.id"", ""email"": ""info@itb-ad.ac.id"", ""phone"": ""085891195646""}","ITB Ahmad Dahlan (ITB-AD) merupakan perguruan tinggi yang menekankan pada karakter socio-technopreneur, yaitu karakter yang memiliki jiwa penolong, memiliki kompetensi dalam bidang teknikal digital dan riset, serta mampu mengembangkan jiwa entrepreneurship. Sebagai perguruan tinggi milik persyarikatan Muhammadiyah, ITB-AD juga ingin berkontribusi dan memberikan solusi terhadap masa depan kegiatan bisnis digital berbasis industri kreatif.",{}
58,info@jak-stik.ac.id,Sekolah Tinggi Manajemen Informatika dan Komputer Jakarta STI&K,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-manajemen-informatika-dan-komputer-jakarta-sti-k,Rp750.000 - Rp1.000.000 per semester,801,80,"{""website"": ""www.jak-stik.ac.id"", ""email"": ""info@jak-stik.ac.id"", ""phone"": ""(021) 739 7973""}","Sekolah Tinggi Manajemen Informatika dan Komputer Jakarta STI&K (STMIK Jakarta STI&K) didirikan pada tahun 1978 dengan nama Institut Ilmu Komputer (IIK). Kemudian pada tahun 1990 IIK resmi berubah nama menjadi STMIK Jakarta STI&K. Saat ini, STMIK Jakarta STI&K menyediakan empat program studi yaitu D3 Manajemen Informatika, S1 Sistem Informasi, S1 Sistem Komputer, dan S2 Teknologi Informasi.",{}
59,admission@stikesrshusada.ac.id,Sekolah Tinggi Ilmu Kesehatan RS Husada,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-rs-husada,Rp9.000.000 per semester,533,28,"{""website"": ""www.stikesrshusada.ac.id"", ""email"": ""admission@stikesrshusada.ac.id"", ""phone"": ""021-6259984""}","Sekolah Tinggi Ilmu Kesehatan RS Husada merupakan institusi pendidikan yang telah berdiri dan menyelenggarakan pendidikan keperawatan sejak tahun 1943 di bawah Perkumpulan Husada. Di tahun 1989, kampus ini berganti nama menjadi Akademi Keperawatan Husada. Setelah 30 tahun menjalankan program pendidikan keperawatan dalam bentuk akademi, kampus ini resmi bertransformasi menjadi Sekolah Tinggi Ilmu Kesehatan di tahun 2019 dengan menambahkan program studi baru, yakni Administrasi Kesehatan.",{}
60,humas@uindatokarama.ac.id,Universitas Islam Negeri Datokarama,Universitas Negeri,https://campus.quipper.com/directory/universitas-islam-negeri-datokarama,,7711,246,"{""website"": ""www.uindatokarama.ac.id"", ""email"": ""humas@uindatokarama.ac.id"", ""phone"": ""0451460798""}","Universitas Islam Negeri (UIN) Datokarama Palu merupakan perguruan tinggi negeri keagamaan yang berada di wilayah Provinsi Sulawesi Tengah dan telah berdiri sejak tahun 1966. Dalam perjalanannya selama lima dekade, UIN Datokarama beberapa kali mengalami perubahan bentuk dari Sekolah Tinggi Agama Islam Negeri (STAIN) Datokarama Palu, Institut Agama Islam Negeri (IAIN) Palu, hingga menjadi UIN Datokarama Palu di tahun 2021. Saat ini, UIN Datokarama Palu memiliki empat fakultas dan program pascasarjana yang terdiri atas berbagai macam bidang keilmuan.",{}
61,iainmetro@metrouniv.ac.id,Institut Agama Islam Negeri Metro (IAIN Metro),Institut Negeri,https://campus.quipper.com/directory/institut-agama-islam-negeri-metro-iain-metro,Rp1.800.000 - Rp3.400.000 per semester,6524,265,"{""website"": ""www.metrouniv.ac.id"", ""email"": ""iainmetro@metrouniv.ac.id"", ""phone"": ""0725-47297, 41507""}","Cikal bakal berdirinya Institut Agama Islam Negeri (IAIN) Metro tidak terlepas dari sejarah berdirinya IAIN Raden Intan di Bandar Lampung pada tahun 1996. Awalnya, IAIN Metro adalah sebuah fakultas yang merupakan bagian dari IAIN Raden Intan, tetapi berdasarkan surat keputusan presiden nomor 11 tahun 1997 ditetapkan bahwa fakultas di luar induk berubah menjadi Sekolah Tinggi Agama Islam Negeri (STAIN). Dengan begitu, terbentuklah STAIN Jurai Siwo Metro yang merupakan cikal bakal IAIN Metro. Seiring berjalannya waktu, di tahun 2016, STAIN Jurai Siwo Metro berubah status menjadi IAIN Metro. Saat ini, IAIN Metro menyediakan empat fakultas yaitu Fakultas Tarbiyah dan Ilmu Keguruan, Fakultas Ushuluddin Adab dan Dakwah, Fakultas Ekonomi dan Bisnis Islam, serta Fakultas Syariah.",{}
62,web_admin@istts.ac.id,Institut Sains dan Teknologi Terpadu Surabaya,Institut Swasta,https://campus.quipper.com/directory/institut-sains-dan-teknologi-terpadu-surabaya,Rp8.280.000-Rp19.920.000 per semester,1049,72,"{""website"": ""www.istts.ac.id"", ""email"": ""web_admin@istts.ac.id"", ""phone"": ""031-5041509, 031-5031881""}","Institut Sains dan Teknologi Terpadu Surabaya merupakan sebuah perguruan tinggi swasta yang berdiri di bawah naungan Yayasan Perguruan Tinggi Teknik Nusantara. Cikal bakal insitut ini adalah Institut Teknisi Elektro Surabaya (ITES) yang didirikan pada tahun 1979 untuk memenuhi kebutuhan pendidikan tinggi di bidang teknik elektro. Kemudian di tahun 1985, ITES berubah nama menjadi Sekolah Tinggi Teknik Surabaya (STTS). Setelah lebih dari 30 tahun menyelenggarakan pendidikan sebagai sekolah tinggi, akhirnya STTS resmi bertransformasi menjadi Institut Sains dan Teknologi Terpadu Surabaya (ISTTS) pada tanggal 24 Juni 2019.",{}
63,rektorat@ith.ac.id,Institut Teknologi Bacharuddin Jusuf Habibie,Institut Negeri,https://campus.quipper.com/directory/institut-teknologi-bacharuddin-jusuf-habibie,Rp0-Rp3.000.000 per semester,360,16,"{""website"": ""http://ith.ac.id/"", ""email"": ""rektorat@ith.ac.id"", ""phone"": ""(0421) 2924000""}","Institut Teknologi Bacharuddin Jusuf Habibie (ITBH) merupakan perguruan tinggi negeri yang didirikan pada tahun 2014. Awalnya kampus ini memiliki nama Institut Teknologi B.J. Habibie (ITH). Meskipun kampus ini telah didirikan sejak tahun 2014, tetapi izin operasional resmi baru terbit pada tahun 2021. Saat ini, ITBH baru menyediakan program sarjana dengan tiga program studi yakni Matematika, Sistem Informasi, dan Teknik Informatika.",{}
64,admin@poltekkpbone.ac.id,Politeknik Kelautan dan Perikanan Negeri Bone,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-kelautan-dan-perikanan-negeri-bone,Gratis,735,29,"{""website"": ""site.poltekkpbone.ac.id"", ""email"": ""admin@poltekkpbone.ac.id"", ""phone"": ""0481-2920204""}","Politeknik Kelautan dan Perikanan Bone (Politeknik KP Bone) merupakan perguruan tinggi yang mengadakan pendidikan vokasi pada ranah ilmu kelautan dan perikanan. Politeknik KP Bone berada di bawah naungan Kementerian Kelautan dan Perikanan (KKP) dan mulai beroperasi pada bulan September 2016. Pendirian Politeknik KP Bone merupakan upaya KKP dalam meningkatkan kualitas sumberdaya manusia di bidang kelautan dan perikanan, khususnya pada daerah pertambakan Kabupaten Bone.",{}
65,sipencatar@poltekpel-banten.ac.id,Politeknik Pelayaran Banten,Politeknik Negeri,https://campus.quipper.com/directory/politeknik-pelayaran-banten,Rp1.500.000 - Rp8.500.000 per semester,816,46,"{""website"": ""www.poltekpel-banten.ac.id"", ""email"": ""sipencatar@poltekpel-banten.ac.id"", ""phone"": ""(021) 59370327, (021) 59370328, (021) 59370329""}","Politeknik Pelayaran Banten merupakan perguruan tinggi negeri yang telah berdiri sejak tahun 2004. Awalnya, politeknik ini adalah sebuah lembaga pendidikan dan pelatihan di bawah naungan Badan Pengembangan Sumber Daya Manusia Kementerian Perhubungan yang dikenal dengan nama Balai Pendidikan dan Pelatihan Ilmu Pelayaran (BP2IP) Tangerang. Saat ini, Politeknik Pelayaran Banten hanya menyediakan tiga program studi yaitu D3 Manajemen Transportasi Laut, D3 Nautika, dan D3 Permesinan Kapal.",{}
