institution_name,institution_code,body_type,link,student_amount,lecturer_amount,contact,description,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,address,province,campus_accreditation,quipper_code,pddikti_code,rencanamu_code,banpt_code
UNIVERSITAS BHAKTI ASIH TANGERANG,330,SWASTA,-,-1.0,-1.0,"{""website"": ""universitasbhaktiasih.ac.id"", ""email"": ""rektorat@univbhaktiasih.com"", ""phone"": ""08119112462""}",-,9000000.0,9000000.0,9000000.0,18000000.0,18000000.0,18000000.0,KOTA TANGERANG,BANTEN,BAIK,-,pddikti-669,-,banpt-1156
UNIVERSITAS ATMA JAYA YOGYAKARTA,331,SWASTA,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta,9381.0,9381.0,"{""website"": ""www.uajy.ac.id"", ""email"": ""kkp.promosi@uajy.ac.id"", ""phone"": ""0274 487711""}","Pendirian Universitas Atma Jaya Yogyakarta digagas dan diawali oleh Pengurus Ikatan Sarjana Katolik  cabang Yogyakarta. Pada tanggal 13 Mei 1965, terbentuklah Yayasan Universitas Katolik Indonesia Atma Jaya Cabang Yogyakarta, yang sekarang menjadi Yayasan Slamet Rijadi Yogyakarta.",9000000.0,9000000.0,20000000.0,18000000.0,18000000.0,35000000.0,"Jalan Babarsari No 44, KABUPATEN SLEMAN",D.I. YOGYAKARTA,A,quipper-6,pddikti-2140,rencanamu-100,banpt-2538
SEKOLAH TINGGI KESEHATAN AL-FATAH BENGKULU,332,SWASTA,-,-1.0,-1.0,"{""website"": ""http://stikesalfatah.ac.id"", ""email"": ""info@stikesalfatah.ac.id"", ""phone"": ""073627508 / 073627508""}",-,9000000.0,8500000.0,9500000.0,18000000.0,17000000.0,19000000.0,KOTA BENGKULU,BENGKULU,BAIK,-,pddikti-1355,-,banpt-373
UNIVERSITAS KATOLIK MUSI CHARITAS,333,SWASTA,https://rencanamu.id/cari-kampus/universitas-katolik-musi-charitas,-1.0,-1.0,"{""website"": ""www.ukmc.ac.id"", ""email"": ""rektorat@ukmc.ac.id"", ""phone"": ""0711-378171 / 0711-378171""}",-,9000000.0,4000000.0,14000000.0,18000000.0,8000000.0,28000000.0,"Jalan Bangau No.60 Palembang, KOTA PALEMBANG",SUMATERA SELATAN,B,-,pddikti-710,rencanamu-166,banpt-1887
SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA CIKARANG,334,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stikesbhc.ac.id"", ""email"": ""stikesbhc@gmail.com"", ""phone"": ""0218902577""}",-,9000000.0,7800000.0,10200000.0,18000000.0,15600000.0,20400000.0,KABUPATEN BEKASI,JAWA BARAT,BAIK,-,pddikti-2195,-,banpt-2183
SEKOLAH TINGGI ILMU KESEHATAN BETHESDA YAKKUM,335,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stikesbethesda.ac.id"", ""email"": ""info@stikesbethesda.ac.id"", ""phone"": ""+62-274-517065 / +62-274-524565""}",-,8997500.0,350000.0,17645000.0,17995000.0,700000.0,35290000.0,"Jl. Johar Nurhadi No. 6, KOTA YOGYAKARTA",D.I. YOGYAKARTA,B,-,pddikti-899,-,banpt-943
UNIVERSITAS WINAYA MUKTI,336,SWASTA,-,-1.0,-1.0,"{""website"": ""www.unwim.ac.id"", ""email"": ""admikunwim@gmail.com"", ""phone"": ""2511340 / 2511340""}",-,8950000.0,100000.0,17800000.0,17900000.0,200000.0,35600000.0,"Jl. Pahlawan No.69 Bandung, KOTA BANDUNG",JAWA BARAT,BAIK SEKALI,-,pddikti-1821,-,banpt-678
UNIVERSITAS MUHAMMADIYAH MANADO,337,SWASTA,-,-1.0,-1.0,"{""website"": ""https://unimman.ac.id/"", ""email"": ""rektorat@unimman.ac.id"", ""phone"": """"}",-,8925000.0,650000.0,17200000.0,17850000.0,1300000.0,34400000.0,KOTA MANADO,SULAWESI UTARA,BAIK,-,pddikti-390,-,banpt-494
UNIVERSITAS BUNG HATTA,338,SWASTA,https://rencanamu.id/cari-kampus/universitas-bung-hatta,8625.0,8625.0,"{""website"": ""www.bunghatta.ac.id"", ""email"": ""rektorat@bunghatta.ac.id"", ""phone"": ""07517051678 / 07517055475""}","Universitas Bung Hatta  berdiri sejak tahun 1981. Kampus ini memiliki 24 program studi yang diakreditasi oleh Badan Akreditasi Nasional. Berdasarkan rilis Kementerian Ristekdikti tahun 2017, UBH masuk 71 besar universitas Non-Politeknik di Indonesia. Quipperian yang berdomisili di Sumatera Barat dan sekitarnya bisa menjadikan kampus ini sebagai pilihan tempat menimba ilmu.",8902000.0,6500000.0,52000000.0,17804000.0,13000000.0,52000000.0,"Jalan Sumatera Ulak Karang, KOTA PADANG",SUMATERA BARAT,B,quipper-582,pddikti-854,rencanamu-118,banpt-366
UNIVERSITAS RESPATI YOGYAKARTA,339,SWASTA,https://rencanamu.id/cari-kampus/universitas-respati-yogyakarta,4430.0,4430.0,"{""website"": ""www.respati.ac.id"", ""email"": ""unriyo@respati.ac.id"", ""phone"": ""0274 488781 / 0274 489780""}",-,8900000.0,8900000.0,8900000.0,17800000.0,17800000.0,17800000.0,"Jl Laksda Adisutjipto KM 6 5 Sleman, KABUPATEN SLEMAN",D.I. YOGYAKARTA,B,-,pddikti-1709,rencanamu-255,banpt-3193
SEKOLAH TINGGI ILMU KESEHATAN INDRAMAYU,340,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stikesindramayu.ac.id"", ""email"": ""stikes_indramayu@yahoo.com"", ""phone"": ""0234-272020 / 0234-272558""}",-,8837500.0,5045000.0,12630000.0,17675000.0,10090000.0,25260000.0,"Jalan Wirapati Kecamatan Sindang, KABUPATEN INDRAMAYU",JAWA BARAT,BAIK,-,pddikti-1697,-,banpt-2346
SEKOLAH TINGGI ILMU KESEHATAN MITRA KELUARGA,341,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stikesmitrakeluarga.ac.id"", ""email"": ""stikes@mitrakeluarga.com"", ""phone"": ""02188345997 / 02188351995""}",-,8820000.0,500000.0,17140000.0,17640000.0,1000000.0,34280000.0,"Jl. Pengasinan  Rawa Semut  Margahayu  Bekasi Timur, KOTA BEKASI",JAWA BARAT,TERAKREDITASI,-,pddikti-1215,-,banpt-149
UNIVERSITAS DR SOETOMO,342,SWASTA,https://campus.quipper.com/directory/universitas-dr-soetomo,8481.0,238.0,"{""website"": ""www.unitomo.ac.id"", ""email"": ""info@unitomo.ac.id"", ""phone"": ""031-5925970 / 031-5938935""}","Universitas Dr. Soetomo  sudah berdiri sejak tahun 1981, lho Quipperian! Kampus ini terkenal dengan predikatnya sebagai kampus kebangsaan dan kerakyatan. Adapun, menurut survei yang dilakukan oleh 4icu.org, Universitas Dr. Soetomo menempati peringkat 194 universitas yang ada di Indonesia. Saat ini, Unitomo memiliki 9 fakultas dengan 27 program studi. Bagi kalian yang penasaran dengan universitas ini, yuk simak informasi berikut!",8760000.0,3600000.0,17220000.0,17520000.0,7200000.0,34440000.0,"Jl Semolowaru 84, KOTA SURABAYA",JAWA TIMUR,BAIK SEKALI,quipper-25,pddikti-1857,-,banpt-1
SEKOLAH TINGGI ILMU EKONOMI TRISNA NEGARA,343,SWASTA,-,-1.0,-1.0,"{""website"": ""stietrisnanegara.ac.id"", ""email"": ""trisnanegara@gmail.com"", ""phone"": ""0735-451003 / 0735-451572""}",-,8750000.0,5000000.0,12500000.0,17500000.0,10000000.0,25000000.0,"Jalan MP Bangsa Raja No 27, KABUPATEN OGAN KOMERING ULU TIMUR",SUMATERA SELATAN,BAIK,-,pddikti-1864,-,banpt-3767
UNIVERSITAS MUHAMMADIYAH TASIKMALAYA,344,SWASTA,https://campus.quipper.com/directory/universitas-muhammadiyah-tasikmalaya,1322.0,95.0,"{""website"": ""www.umtas.ac.id"", ""email"": ""kotaksurat@umtas.ac.id"", ""phone"": ""0265-2350982 / 0265-2350982""}","Quipperian, pada saat awal berdiri, Universitas Muhammadiyah Tasikmalaya merupakan sebuah sekolah lanjutan vokasi kesehatan dengan nama Sekolah Perawatan Kesehatan . Berdiri di bawah naungan organisasi Islam terbesar kedua di Indonesia, Muhammadiyah, dan resmi bernama Universitas Muhammadiyah Tasikmalaya pada tahun 2014.",8725000.0,4000000.0,17350000.0,17450000.0,8000000.0,34700000.0,"Jalan Tamansari Gobras, KOTA TASIKMALAYA",JAWA BARAT,BAIK,quipper-426,pddikti-16,-,banpt-3685
STIKES YARSI PONTIANAK,345,SWASTA,-,-1.0,-1.0,"{""website"": ""http://www.stikesyarsi-pontianak.ac.id"", ""email"": ""info@stikesyarsi-pontianak.ac.id"", ""phone"": ""0561-732-927 / 0561-749-478""}",-,8625000.0,2000000.0,15250000.0,17250000.0,4000000.0,30500000.0,"Jalan Panglima A im Pontianak Timur, KOTA PONTIANAK",KALIMANTAN BARAT,BAIK,-,pddikti-2198,-,banpt-4011
UNIVERSITAS MEDAN AREA,346,SWASTA,https://rencanamu.id/cari-kampus/universitas-medan-area,9103.0,9103.0,"{""website"": ""www.uma.ac.id"", ""email"": ""univ_medanarea@uma.ac.id"", ""phone"": ""061-7366878 / 061-7366998""}","Halo, Quipperian! Tahukah kamu bahwa Universitas Medan Area  sudah lama dikenal oleh masyarakat luas sebagai universitas yang kuat dalam mengabdi kepada bangsa dan negara? Sejak tahun 1983 UMA telah menghasilkan alumni-alumni yang tersebar di seluruh Indonesia. Jadi, apakah Quipperian tertarik menjadi salah satu mahasiswa dari kampus ini?",8625000.0,7000000.0,56000000.0,17250000.0,14000000.0,56000000.0,"1. Jalan Kolam No. 1 Medan Estate - Medan2. Jalan Setia Budi, KABUPATEN DELI SERDANG",SUMATERA UTARA,B,quipper-444,pddikti-1453,rencanamu-194,banpt-811
STIKES YOGYAKARTA,347,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stikes-yogyakarta.ac.id"", ""email"": ""stikesyo@gmail.com"", ""phone"": ""2870661""}",-,8612500.0,2700000.0,14525000.0,17225000.0,5400000.0,29050000.0,"Jln. Nitikan Baru No. 69 Yogyakarta, KOTA YOGYAKARTA",D.I. YOGYAKARTA,BAIK,-,pddikti-788,-,banpt-2967
SEKOLAH TINGGI ILMU ADMINISTRASI AAN,348,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stia-aan.ac.id"", ""email"": ""stiaaan79@gmail.com"", ""phone"": ""0274-517471 / 0274-517471""}",-,8502500.0,980000.0,16025000.0,17005000.0,1960000.0,32050000.0,"Blunyahrejo Karangwaru Tegalrejo, KOTA YOGYAKARTA",D.I. YOGYAKARTA,BAIK SEKALI,-,pddikti-1,-,banpt-1024
UNIVERSITAS BINA SEHAT PPNI MOJOKERTO,349,SWASTA,-,-1.0,-1.0,"{""website"": ""-"", ""email"": ""-"", ""phone"": ""390203""}",-,8500000.0,4000000.0,13000000.0,17000000.0,8000000.0,26000000.0,KABUPATEN MOJOKERTO,JAWA TIMUR,BAIK,-,pddikti-75,-,banpt-1553
UNIVERSITAS GRESIK,350,SWASTA,-,-1.0,-1.0,"{""website"": ""unigres.ac.id"", ""email"": ""info@unigres.ac.id"", ""phone"": ""031-398-1918 / 031-397-8628""}",-,8500000.0,8500000.0,8500000.0,17000000.0,17000000.0,17000000.0,"Jalan Arief Rahman Hakim No 2B, KABUPATEN GRESIK",JAWA TIMUR,BAIK SEKALI,-,pddikti-1190,-,banpt-3345
UNIVERSITAS DEHASEN BENGKULU,351,SWASTA,-,-1.0,-1.0,"{""website"": ""unived.ac.id"", ""email"": ""info@unived.ac.id"", ""phone"": ""0736-22-027 / 0736 341139""}",-,8497500.0,995000.0,16000000.0,16995000.0,1990000.0,32000000.0,"Jalan Meranti Raya No 32, KOTA BENGKULU",BENGKULU,BAIK SEKALI,-,pddikti-1553,-,banpt-3897
UNIVERSITAS PGRI SEMARANG,352,SWASTA,https://rencanamu.id/cari-kampus/universitas-pgri-semarang,9370.0,9370.0,Tel: +6224 831 6377,-,8450000.0,8450000.0,67600000.0,16900000.0,16900000.0,67600000.0,-,JAWA TENGAH,UNGGUL,-,-,rencanamu-247,banpt-198
UNIVERSITAS SAMAWA,353,SWASTA,-,-1.0,-1.0,"{""website"": ""https://samawa-university.ac.id"", ""email"": ""sumbawaunsa@gmail.com"", ""phone"": ""0371-625848 ; 21236 / 0371-625848""}",-,8377500.0,255000.0,16500000.0,16755000.0,510000.0,33000000.0,"Jl. Raya Bay Pass Sering Sumbawa Besar - NTB, KABUPATEN SUMBAWA",NUSA TENGGARA BARAT,BAIK,-,pddikti-428,-,banpt-3054
SEKOLAH TINGGI BISNIS DAN MANAJEMEN DUA SAUDARA,354,SWASTA,-,-1.0,-1.0,"{""website"": ""http://www.stbmduasudara.ac.id"", ""email"": ""admin@stbmduasudara.ac.id"", ""phone"": ""+6282189065085""}",-,8375000.0,500000.0,16250000.0,16750000.0,1000000.0,32500000.0,KOTA BITUNG,SULAWESI UTARA,BAIK,-,pddikti-1195,-,banpt-3183
UNIVERSITAS ALKHAIRAAT,355,SWASTA,-,-1.0,-1.0,"{""website"": ""www.unisapalu.ac.id"", ""email"": ""rektorat@unisapalu.ac.id"", ""phone"": ""461123 / 460949""}",-,8350000.0,1200000.0,15500000.0,16700000.0,2400000.0,31000000.0,"Jalan Diponegoro No 39 Palu, KOTA PALU",SULAWESI TENGAH,BAIK,-,pddikti-2462,-,banpt-3781
UNIVERSITAS STIKUBANK,356,SWASTA,https://rencanamu.id/cari-kampus/universitas-stikubank,3198.0,3198.0,Tel: +6224 845 1976,-,8250000.0,8250000.0,66000000.0,16500000.0,16500000.0,66000000.0,"Jalan Tri Lomba Juang No 1, KOTA SEMARANG",JAWA TENGAH,BAIK SEKALI,-,pddikti-2068,rencanamu-267,banpt-302
SEKOLAH TINGGI ILMU KESEHATAN RS DUSTIRA,357,SWASTA,-,-1.0,-1.0,"{""website"": ""https://stikesrsdustira.ac.id"", ""email"": ""info@stikesrsdustira.ac.id"", ""phone"": ""08812091112 / 0226632358""}",-,8250000.0,7500000.0,9000000.0,16500000.0,15000000.0,18000000.0,KOTA CIMAHI,JAWA BARAT,BAIK,-,pddikti-2617,-,banpt-2804
SEKOLAH TINGGI ILMU EKONOMI LATIFAH MUBAROKIYAH,358,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stielm.ac.id"", ""email"": ""office@stielm.ac.id"", ""phone"": ""0265-7545050""}",-,8250000.0,1750000.0,14750000.0,16500000.0,3500000.0,29500000.0,"Pondok Pesantren Suryalaya Desa Tanjungkerta, KABUPATEN TASIKMALAYA",JAWA BARAT,BAIK,-,pddikti-2553,-,banpt-2328
UNIVERSITAS MULTI DATA PALEMBANG,359,SWASTA,-,-1.0,-1.0,"{""website"": ""https://mdp.ac.id/"", ""email"": ""kuliah@mdp.ac.id"", ""phone"": ""0711-376400 / 0711-376360""}",-,8250000.0,500000.0,16000000.0,16500000.0,1000000.0,32000000.0,KOTA PALEMBANG,SUMATERA SELATAN,BAIK SEKALI,-,pddikti-269,-,banpt-2640
UNIVERSITAS MUHAMMADIYAH PRINGSEWU LAMPUNG,360,SWASTA,-,-1.0,-1.0,"{""website"": ""http://umpri.ac.id/"", ""email"": ""info@umpri.ac.id"", ""phone"": ""3751024 / 3751024""}",-,8242500.0,2035000.0,14450000.0,16485000.0,4070000.0,28900000.0,"Jl. KH. Ahmad Dahlan No.112 Kecamatan Pringsewu, KABUPATEN PRINGSEWU",LAMPUNG,BAIK SEKALI,-,pddikti-2200,-,banpt-642
UNIVERSITAS SANGGA BUANA,361,SWASTA,-,-1.0,-1.0,"{""website"": ""www.usbypkp.ac.id"", ""email"": ""pddikti@usbypkp.ac.id"", ""phone"": ""022-7275489 / 022-7201756""}",-,10970000.0,5500000.0,16440000.0,21940000.0,11000000.0,32880000.0,"Jalan PHH Mustopa No 68, KOTA BANDUNG",JAWA BARAT,UNGGUL,-,pddikti-155,-,banpt-569
SEKOLAH TINGGI ILMU KESEHATAN STELLA MARIS MAKASAR,362,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stikstellamarismks.ac.id"", ""email"": ""stiksm_mks@yahoo.co.id"", ""phone"": ""0411-8005319""}",-,8200000.0,350000.0,16050000.0,16400000.0,700000.0,32100000.0,"Jalan Maipa No 19, KOTA MAKASSAR",SULAWESI SELATAN,BAIK,-,pddikti-1416,-,banpt-1787
SEKOLAH TINGGI ILMU KESEHATAN ELISABETH SEMARANG,363,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stibeth.ac.id"", ""email"": ""akabeth_semarang@yahoo.com"", ""phone"": ""024- 8412729 / 024- 8506185""}",-,8137500.0,3550000.0,12725000.0,16275000.0,7100000.0,25450000.0,"Jl Kawi No.11 Semarang, KOTA SEMARANG",JAWA TENGAH,B,-,pddikti-1095,-,banpt-1995
UNIVERSITAS SUGENG HARTONO,364,SWASTA,-,-1.0,-1.0,"{""website"": ""https://sugenghartono.ac.id/"", ""email"": ""ush@sugenghartono.ac.id"", ""phone"": ""62853-2684-8008""}",-,8100000.0,8100000.0,8100000.0,16200000.0,16200000.0,16200000.0,KABUPATEN SUKOHARJO,JAWA TENGAH,BAIK,-,pddikti-1681,-,banpt-1312
STIKES HUSADA BORNEO,365,SWASTA,-,-1.0,-1.0,"{""website"": ""http://www.stikeshb.ac.id"", ""email"": ""stikeshusadaborneo@ymail.com"", ""phone"": ""0511 - 4784900 / 0511 - 4784900""}",-,8100000.0,1950000.0,14250000.0,16200000.0,3900000.0,28500000.0,"Jl. A. Yani Km. 30 5 No. 4 Banjarbaru Kalimantan Selatan, KOTA BANJARBARU",KALIMANTAN SELATAN,BAIK,-,pddikti-2340,-,banpt-4021
SEKOLAH TINGGI ILMU EKONOMI INDONESIA JAKARTA,366,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stei.ac.id"", ""email"": ""info@stei.ac.id"", ""phone"": ""021-4750321 / 021-4722371""}",-,8081250.0,8081250.0,8081250.0,16162500.0,16162500.0,16162500.0,"Jalan Kayu Jati Raya 11-A Rawamangun, KOTA JAKARTA TIMUR",D.K.I. JAKARTA,BAIK SEKALI,-,pddikti-1871,-,banpt-1890
STIKES KARYA PUTRA BANGSA TULUNGAGUNG,367,SWASTA,-,-1.0,-1.0,"{""website"": ""stikes-kartrasa.ac.id"", ""email"": ""karyaputrabangsa@stikes-kartrasa.ac.id"", ""phone"": ""0355 335735""}",-,8075000.0,7550000.0,8600000.0,16150000.0,15100000.0,17200000.0,"JL. Raya Tulungagung - Blitar KM.04, KABUPATEN TULUNGAGUNG",JAWA TIMUR,BAIK,-,pddikti-731,-,banpt-3995
UNIVERSITAS GUNADARMA,368,SWASTA,https://rencanamu.id/cari-kampus/universitas-gunadarma,37611.0,37611.0,Tel: +6221 7888 1112,"Beken dengan tempat belajar ilmu komputernya, Universitas Gunadarma yang berdiri pada  7 Agustus 1981 ini memang identik dengan ahli teknologi informasi. Kabarnya, banyak lulusan yang berhasil meraih karier cemerlang di perusahaan swasta, nasional maupun multinasional. Tak hanya mampu melahirkan para ahli IT, universitas ini pun mampu melahirkan ahli di bidang psikologi dan bahasa Inggris, lho Quipperian!.",8050000.0,8050000.0,64400000.0,16100000.0,16100000.0,64400000.0,"Jalan Stasiun Cakung No. 99 RT.002  RW.08  Kelurahan Pulogebang  Kecamatan Cakung, KOTA JAKARTA TIMUR",JAWA BARAT,A,quipper-731,pddikti-1696,rencanamu-136,banpt-2307
SEKOLAH TINGGI ILMU FARMASI PADANG,369,SWASTA,-,-1.0,-1.0,"{""website"": ""stifarm-padang.ac.id"", ""email"": ""akademik.stifarm@gmail.com"", ""phone"": ""0751-444344 / 0751-444344""}",-,8050000.0,6600000.0,9500000.0,16100000.0,13200000.0,19000000.0,"Jalan Raya Siteba  Pagang Dalam RT 02  RW 08  Kelurahan Kurao Pagang  Kecamatan Nanggalo, KOTA PADANG",SUMATERA BARAT,BAIK SEKALI,-,pddikti-454,-,banpt-1624
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,370,SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-kesatuan,3106.0,114.0,"{""website"": ""www.ibik.ac.id"", ""email"": ""info@ibik.ac.id"", ""phone"": ""0251-8337733, \u200e0855-8239-348""}","Sebelum resmi berdiri dengan nama Institut Bisnis dan Informatika Kesatuan, kampus ini telah beberapa kali mengalami perubahan bentuk. Awalnya, Yayasan Kesatuan mendirikan Akademi Manajemen Kesatuan  di tahun 1974. Berangkat dari keberhasilan AMK, Yayasan Kesatuan memutuskan untuk mendirikan lembaga pendidikan setingkat sarjana di tahun 1996, yaitu Sekolah Tinggi Ilmu Ekonomi  Kesatuan. Pada tahun 2009, AMK disatukan di bawah naungan STIE Kesatuan. Sepuluh tahun kemudian tepatnya di tahun 2019, STIE Kesatuan bertransformasi menjadi Institut Bisnis dan Informatika Kesatuan .",8000000.0,6000000.0,10000000.0,16000000.0,12000000.0,20000000.0,"Jl. Rangga Gading No.1  Gudang  Kecamatan Bogor Tengah  Kota Bogor  Jawa Barat, KOTA BOGOR",JAWA BARAT,B,quipper-82,pddikti-31,-,banpt-3325
INSTITUT ILMU SOSIAL DAN ILMU POLITIK JAKARTA,371,SWASTA,https://rencanamu.id/cari-kampus/institut-ilmu-sosial-dan-ilmu-politik-jakarta,3798.0,3798.0,"{""website"": ""www.iisip.ac.id"", ""email"": ""admin@iisip.ac.id"", ""phone"": ""62-21-78062234 / 62-21-7817630""}","Perlu diketahui nih Quipperian, Institut Ilmu Sosial dan Ilmu Politik  awalnya adalah sebuah sekolah tinggi yang didirikan oleh Perhimpunan Mahasiswa Akademi Wartawan bernama Perguruan Tinggi Djurnalistik . Seiring dengan perkembangan keilmuan, pada 1990, IISIP memiliki dua fakultas tambahan yakni Fakultas Ilmu Sosial dan Politik serta Fakultas Ilmu Administrasi. Bagi Quipperian yang bercita-cita menjadi seorang insan pers, masuk ke IISIP merupakan pilihan yang tepat karena kampus ini sudah berdiri sejak tahun 1953 lho.",8000000.0,8000000.0,53960000.0,16000000.0,16000000.0,53960000.0,"Jalan Raya Lenteng Agung No 32, KOTA JAKARTA SELATAN",D.K.I. JAKARTA,BAIK,quipper-383,pddikti-1877,rencanamu-18,banpt-1496
STIKES BORNEO CENDEKIA MEDIKA,372,SWASTA,-,-1.0,-1.0,"{""website"": ""www.stikesbcm.ac.id"", ""email"": ""stikesbcm15@gmail.com"", ""phone"": ""082296455551 / 28200""}",-,8000000.0,8000000.0,8000000.0,16000000.0,16000000.0,16000000.0,"Jl. Sultan Syahrir No. 11 Pangkalan Bun, KABUPATEN KOTAWARINGIN BARAT",KALIMANTAN TENGAH,BAIK SEKALI,-,pddikti-953,-,banpt-1889
SEKOLAH TINGGI TEKNOLOGI TERPADU NURUL FIKRI,373,SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-teknologi-terpadu-nurul-fikri,372.0,43.0,"{""website"": ""www.nurulfikri.ac.id"", ""email"": ""administrasi@nurulfikri.com"", ""phone"": ""085716243174 / 021-7874225""}","Tahukah Quipperian bahwa Sekolah Tinggi Teknologi Terpadu Nurul Fikri  merupakan perguruan tinggi yang memadukan keilmuan praktis di bidang teknologi informasi dengan pengembangan kepribadian islami? Pada tahun 2012, STT-NF resmi berdiri berdasarkan SK Menteri Pendidikan dan Kebudayaan Nomor 269/E/O/2012. Setelah berjalan dua tahun, tepatnya pada 2014, program studi yang dikelola STT-NF yaitu Sistem Informasi dan Informatika berhasil mendapatkan Akreditasi BAN-PT, berdasarkan SK Nomor 483/SK/BAN-PT/Akred/S/XII/2014 dan 468/SK/BAN-PT/Akred/S/XII/2014. Dan pada bulan September 2016 lalu, STT-NF telah meluluskan 37 orang mahasiswa angkatan pertama tahun 2012 yang seluruh alumninya telah terserap oleh pasar kerja. Cek info lengkapnya yuk!",8000000.0,6500000.0,14000000.0,16000000.0,13000000.0,28000000.0,"Jl. Situ Indah No. 116 Kel. Tugu  Kec. Cimanggis, KOTA DEPOK",JAWA BARAT,C,quipper-571,pddikti-2537,rencanamu-73,banpt-3200
SEKOLAH TINGGI FARMASI MAHAGANESHA,374,SWASTA,-,-1.0,-1.0,"{""website"": ""www.farmasimahaganesha.ac.id"", ""email"": ""info@farmasimahaganesha.ac.id"", ""phone"": ""4749310""}",-,8000000.0,7500000.0,8500000.0,16000000.0,15000000.0,17000000.0,"Jalan Tukad Barito Timur No. 57 Denpasar, KOTA DENPASAR",BALI,BAIK,-,pddikti-973,-,banpt-3921
SEKOLAH TINGGI MANAJEMEN ASURANSI TRISAKTI,375,SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-manajemen-asuransi-trisakti,523.0,28.0,"{""website"": ""www.stma-trisakti.ac.id"", ""email"": ""pmb@stma-trisakti.ac.id"", ""phone"": ""021-4893931""}","Kamu tahu nggak sih, Quipperian, STMA Trisakti merupakan lembaga pendidikan tinggi formal di bidang asuransi pertama di Indonesia dan terakreditasi institusi B oleh BAN-PT. Awalnya lembaga pendidikan ini bernama Akademi Asuransi Trisakti dan pada tahun 2002 meningkatkan statusnya menjadi Sekolah Tinggi. Setelah 34 tahun berjalan, lembaga pendidikan yang didirikan oleh Yayasan Trisakti ini mengalami pengembangan yang signifikan, lho! Kerja sama strategis telah dibangun dengan beberapa institusi pendidikan antara lain: Universitas Negeri Jakarta, Burapa University Thailand, Wuxi Insitute Of Technology Of China, Australian and New Zealand Institute of Insurance and Finance , Lembaga Sertifikasi Profesi  - MKS, Lembaga Sertifikasi Profesi Perasuransian Indonesia , AAMAI, Australian Academy of Mentoring and Coaching  Training Indonesia, International Test Center, CARE TECH, Microsoft Campus Agreement. Selain itu, ada juga kerjasama yang dibangun dengan perusahaan-perusahaan perasuransian seperti PT Asuransi Jasa Indonesia , PT Asuransi Jiwasraya , PT Tugu Pratama Indonesia, PT. Asuransi Jiwa Adisarana Wanaartha, PT. Asuransi Central Asia  dan masih banyak lagi Perusahaan bergengsi lainnya. Kamu ingin menjadi bagian dari kampus ini? Segera daftarkan diri kamu, ya!",8000000.0,8000000.0,14526500.0,16000000.0,16000000.0,29053000.0,"Kampus C Trisakti Gedung A Jl Jend Ahmad Yani Kav 85, KOTA JAKARTA TIMUR",D.K.I. JAKARTA,BAIK SEKALI,quipper-664,pddikti-468,-,banpt-1320
UNIVERSITAS KRISTEN DUTA WACANA,376,SWASTA,https://campus.quipper.com/directory/universitas-kristen-duta-wacana,4420.0,153.0,"{""website"": ""www.ukdw.ac.id"", ""email"": ""humas@staff.ukdw.ac.id"", ""phone"": ""0274-563929""}","Berawal dari Sekolah Tinggi Theologia Duta Wacana, saat ini Universitas Kristen Duta Wacana  menjadi kampus swasta terkemuka di Yogyakarta. Kualitasnya dibuktikan lewat akreditasi A dari Badan Akreditasi Nasional Perguruan Tinggi  berdasarkan Surat Keputusan  Nomor 3290/SK/BAN-PT/Akred/PT/IX/2017. UKDW juga termasuk perguruan tinggi protestan terbaik seluruh dunia pada posisi ke-61 berdasarkan daftar Top Protestant Universities in the World dari University Ranking  2022, keren banget ya Quipperian!",8000000.0,8000000.0,40800000.0,16000000.0,16000000.0,40800000.0,"Jalan Dr Wahidin 5-19, KOTA YOGYAKARTA",DI YOGYAKARTA,A,quipper-177,pddikti-2297,rencanamu-176,banpt-2144
SEKOLAH TINGGI ILMU KESEHATAN BINALITA SUDAMA,377,SWASTA,-,-1.0,-1.0,"{""website"": ""www.binalitasudama.ac.id"", ""email"": ""stikesbsm21@gmail.com"", ""phone"": ""061-620-661""}",-,8000000.0,8000000.0,8000000.0,16000000.0,16000000.0,16000000.0,"Jalan Gedung PBSIJl Pancing, KOTA MEDAN",SUMATERA UTARA,BAIK,-,pddikti-1422,-,banpt-3539
