quipper_institution_code,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
81,"INSTITUT TEKNOLOGI, SAINS, DAN KESEHATAN RS DR. SOEPRAOEN KESDAM V/BRW",INSTITUT SWASTA,https://campus.quipper.com/directory/institut-teknologi-sains-dan-kesehatan-rs-dr-soepraoen-kesdam-v-brw,Rp4.000.000-Rp10.800.000 per semester,1437.0,92.0,"{""website"": ""www.itsk-soepraoen.ac.id"", ""email"": ""informasi@itsk-soepraoen.ac.id"", ""phone"": ""0341-351275""}","Institut Teknologi, Sains, dan Kesehatan RS Dr. Soepraoen Kesdam V/BRW  merupakan institusi pendidikan tinggi tenaga kesehatan yang berada dibawah naungan Yayasan Wahana Bhakti Karya Husada yang didirikan oleh para purnawirawan kesehatan angkatan darat ini bergerak di bidang pendidikan dan sosial yang menaungi beberapa institusi pendidikan kesehatan dibeberapa wilayah Indonesia. ITSK Soepraoen baru diresmikan pada tahun 2020 sebagai bentuk baru dari Politeknik Kesehatan Soepraoen.",{}
82,SEKOLAH TINGGI AGAMA ISLAM  ALHIKMAH JAKARTA,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-agama-islam-stai-alhikmah-jakarta,Rp3.000.000 - Rp3.500.000 per semester,766.0,31.0,"{""website"": ""www.alhikmahjkt.ac.id"", ""email"": ""staialhikmah@ymail.com"", ""phone"": ""7890521""}","Sekolah Tinggi Agama Islam  Alhikmah didirikan pada tahun 1984 dengan jumlah mahasiswa pertama sebanyak 20 orang. Tujuan dari pendirian perguruan tinggi ini adalah untuk mencetak sarjana-sarjana muslim yang berakhlak mulia, berilmu, cakap, mandiri, dan melayani masyarakat. Saat ini, STAI Alhikmah menyediakan 6 program studi yang terbagi menjadi 2 jenjang pendidikan yaitu sarjana  dan pascasarjana .",{}
84,POLITEKNIK UBAYA,POLITEKNIK SWASTA,https://campus.quipper.com/directory/politeknik-ubaya,Rp9.800.000 per semester,228.0,29.0,"{""website"": ""www.poltek.ubaya.ac.id"", ""email"": ""timinfo_poltek@ubaya.ac.id"", ""phone"": ""031 2981184""}","Politeknik Ubaya memiliki visi “the gateway to digital business professionalism” dan bertekad mewujudkan misinya untuk berperan aktif dalam memajukan masyarakat dunia usaha melalui pengembangan Tri Dharma secara berkesinambungan demi kesejahteraan umat manusia. Perkuliahan yang diselenggarakan pada setiap program lebih diutamakan unsur praktik, dengan komposisi 70% praktik dan 30% teori. Selain itu, mahasiswa juga diberikan bekal soft skills berupa pembentukan karakter, mental, etika, moral, dan akhlak.",{}
85,UNIVERSITAS WIJAYA PUTRA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-wijaya-putra,Rp3.000.000-Rp4.200.000 per semester,3351.0,216.0,"{""website"": ""www.uwp.ac.id"", ""email"": ""admin@uwp.ac.id"", ""phone"": ""031-7404404, 031-7413061""}","Universitas Wijaya Putra merupakan universitas swasta asal Surabaya yang didirikan oleh Yayasan Pendidikan Wijaya Putra pada tanggal 27 Februari 1981 di bawah naungan Kopertis Wilayah VII Jawa Timur. Punya slogan sebagai ""Research University"", kampus ini memiliki visi dan misi untuk menjadi perguruan tinggi unggul, inovatif, dan bermartabat yang berbasis riset. Secara keseluruhan, kampus ini memiliki 8 fakultas dengan 14 pilihan program studi jenjang sarjana  dan pascasarjana . Segala aktivitas perkuliahan di Universitas Wijaya Putra saat ini berjalan di dua kampus, yaitu Kampus Benowo dan Kampus Wiyung.",{}
86,IPMI INTERNATIONAL BUSINESS SCHOOL,LAINNYA,https://campus.quipper.com/directory/sekolah-tinggi-manajemen-ipmi,Rp25.000.000 per semester,397.0,23.0,"{""website"": ""www.ipmi.ac.id"", ""email"": ""info@ipmi.ac.id"", ""phone"": ""021-7978888""}","IPMI International Business School yang telah berdiri sejak tahun 1984 ini adalah pionir pendidikan Master of Business Administration  di Indonesia. So, para pengajarnya sudah pasti memiliki latar belakang pengalaman yang mumpuni baik di dunia bisnis maupun eksekutif. Selain itu, kampus ini juga mengoleksi banyak penghargaan, salah satunya meraih peringkat 3 Palmes of Excellence dari Eduniversal Ranking, lembaga pemeringkatan sekolah bisnis dunia yang berbasis di Prancis.",{}
87,INSTITUT TEKNOLOGI BACHARUDDIN JUSUF HABIBIE,INSTITUT NEGERI,https://campus.quipper.com/directory/institut-teknologi-bacharuddin-jusuf-habibie,Rp0-Rp3.000.000 per semester,360.0,16.0,"{""website"": ""http://ith.ac.id/"", ""email"": ""rektorat@ith.ac.id"", ""phone"": "" 2924000""}","Institut Teknologi Bacharuddin Jusuf Habibie  merupakan perguruan tinggi negeri yang didirikan pada tahun 2014. Awalnya kampus ini memiliki nama Institut Teknologi B.J. Habibie . Meskipun kampus ini telah didirikan sejak tahun 2014, tetapi izin operasional resmi baru terbit pada tahun 2021. Saat ini, ITBH baru menyediakan program sarjana dengan tiga program studi yakni Matematika, Sistem Informasi, dan Teknik Informatika.",{}
88,SEKOLAH TINGGI ILMU EKONOMI YAPAN SURABAYA,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-yapan-surabaya,Rp3.000.000 kisaran per semester,356.0,38.0,"{""website"": ""www.stieyapan.ac.id"", ""email"": ""info@stieyapan.ac.id"", ""phone"": ""031-8721694""}","Sekolah Tinggi Ilmu Ekonomi  YAPAN Surabaya berdiri pada bulan Agustus tahun 2001 di bawah naungan Yayasan Palapa Nusantara dengan membuka 2 program studi sarjana  yaitu Manajemen dan Akuntansi. Kedua program studi tersebut telah terakreditasi Baik oleh BAN-PT, lho. Selain jenjang sarjana, kampus ini juga membuka program studi magister  Manajemen.",{}
89,SEKOLAH TINGGI AGAMA BUDDHA NEGERI RADEN WIJAYA,SEKOLAH TINGGI NEGERI,https://campus.quipper.com/directory/sekolah-tinggi-agama-buddha-negeri-raden-wijaya,Rp300.000 - Rp900.000 per semester,174.0,38.0,"{""website"": ""https://radenwijaya.ac.id/"", ""email"": ""stabn.radenwijaya@gmail.com"", ""phone"": "" 323439""}","Sekolah Tinggi Agama Buddha Negeri  Raden Wijaya berawal dari Sekolah Tinggi Agama Buddha Nusantara Raden Wijaya Wonogiri yang mulai beroperasi di tahun 2007. Seiring berjalannya waktu, kampus yang awalnya berstatus swasta tersebut berubah menjadi negeri di tahun 2011. Pada tahun 2011, STABN Raden Wijaya hanya menyediakan tiga program studi yang terdiri atas Dharmacarya , Dharmaduta , dan Kepanditaan . Saat ini, STABN Raden Wijaya menyediakan program profesi dan enam program sarjana.",{}
90,STIKES BHAKTI MULIA,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/stikes-bhakti-mulia,Rp6.500.000 per semester,169.0,19.0,"{""website"": ""www.stikesbhaktimulia.ac.id"", ""email"": ""stikesbhaktimulia@gmail.com"", ""phone"": ""0354395455""}","Sekolah Tinggi Ilmu Kesehatan  Bhakti Mulia merupakan perguruan tinggi yang didirikan oleh Yayasan Pendidikan Bhakti Mulia pada tahun 2006. Saat awal berdiri, kampus ini hanya membuka dua program studi yaitu Profesi Ners dan D3 Kebidanan. Namun, seiring berjalannya waktu, STIKES Bhakti Mulia menambah program studi dan jenjang pendidikan baru yaitu Sarjana Ilmu Keperawatan.",{}
91,INSTITUT TRANSPORTASI DAN LOGISTIK TRISAKTI,INSTITUT SWASTA,https://campus.quipper.com/directory/institut-transportasi-dan-logistik-trisakti,Rp5.000.000 per semester,3705.0,236.0,"{""website"": ""itltrisakti.ac.id"", ""email"": ""sekretariat@itltrisakti.ac.id"", ""phone"": ""021-8516050""}","Institut Transportasi dan Logistik Trisakti merupakan perguruan tinggi swasta yang berada di bawah naungan Yayasan Trisakti. Pada tahun 1970, kampus ini dikenal dengan nama Akademi Angkutan Udara Niaga Trisakti . Kemudian di tahun 1986, akademi ini berubah nama menjadi Sekolah Tinggi Manajemen Transportasi Trisakti . Setelah perjalanan panjang selama 32 tahun menyelenggarakan pendidikan sebagai sekolah tinggi, akhirnya kampus ini resmi bertransformasi menjadi Institut Transportasi dan Logistik Trisakti di tahun 2018.",{}
92,UNIVERSITAS SURABAYA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-surabaya,Rp19.000.000 per semester,9662.0,418.0,"{""website"": ""www.ubaya.ac.id"", ""email"": ""humas@unit.ubaya.ac.id"", ""phone"": ""08125001005""}","Universitas Surabaya  merupakan pengembangan dari Universitas Trisakti Surabaya yang didirikan pada tahun 1966. Kemudian pada tahun 1968, nama Universitas Trisakti diganti menjadi Universitas Surabaya. Saat ini, UBAYA memiliki 9 fakultas dan 27 program studi. Selain itu, UBAYA meraih akreditasi A dan memiliki beberapa penghargaan bergengsi salah satunya adalah penghargaan Indonesia Green Award  kategori Green Campus 2016. Wah, keren banget ya Quipperian? Kalau kamu tertarik ingin melanjutkan pendidikan di kampus ini, yuk simak informasi berikut!",{}
93,UNIVERSITAS BUDI LUHUR,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-budi-luhur,Rp11.500.000 per semester,10772.0,445.0,"{""website"": ""www.budiluhur.ac.id"", ""email"": ""info@budiluhur.ac.id"", ""phone"": ""021-5853753""}","Universitas Budi Luhur adalah hasil integrasi antara Sekolah Tinggi Manajemen Informatika dan Komputer Budi Luhur, Sekolah Tinggi Ilmu Ekonomi Budi Luhur, Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Budi Luhur, dan Sekolah Tinggi Teknik Budi Luhur. Universitas Budi Luhur juga menjalin kerja sama dengan lembaga pendidikan luar negeri, lho, misalnya dengan Hoogeschool Zeeland, University of Canberra, dan Guizhou University of Finance and Economic.",{}
94,UNIVERSITAS MUHAMMADIYAH SURABAYA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-muhammadiyah-surabaya,Rp4.700.000-Rp24.000.000 per semester,7074.0,355.0,"{""website"": ""www.um-surabaya.ac.id"", ""email"": ""pmb@um-surabaya.ac.id"", ""phone"": ""031-3811966, 031-3813096""}","Universitas Muhammadiyah Surabaya pada awalnya terdiri atas beberapa lembaga pendidikan tinggi Muhammadiyah, diantaranya Universitas Muhammadiyah Gresik, IKIP Muhammadiyah Surabaya, dan Institut Teknologi Muhammadiyah Surabaya. Berdasarkan SK Menteri Pendidikan dan Kebudayaan RI No.:0141/0/1984, seluruh lembaga tersebut resmi bergabung menjadi satu dan bertransformasi menjadi Universitas Muhammadiyah Surabaya pada tanggal 9 Maret 1984.",{}
95,STIKES KARYA HUSADA KEDIRI,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/stikes-karya-husada-kediri,Rp4.600.000 - Rp7.500.000 per semester,1285.0,60.0,"{""website"": ""https://portal.stikes-khkediri.ac.id/"", ""email"": ""admin@stikes-khkediri.ac.id"", ""phone"": "" 393888""}","Sekolah Tinggi Ilmu Kesehatan  Karya Husada Kediri berdiri pada tahun 2005 dengan tiga program studi yaitu S1 Ilmu Keperawatan, D3 Keperawatan , dan D3 Kebidanan . Saat ini, STIKes Karya Husada Kediri menyediakan  tiga jenjang pendidikan yaitu program diploma , program sarjana, dan program profesi. Bagi Quipperian yang berminat melanjutkan studi di bidang kesehatan khususnya keperawatan, kebidanan, dan gizi, kalian dapat mempertimbangkan kampus ini!",{}
96,POLITEKNIK PENERBANGAN INDONESIA CURUG,POLITEKNIK NEGERI,https://campus.quipper.com/directory/politeknik-penerbangan-indonesia-curug,Rp8.100.000-Rp13.600.000 per semester,941.0,77.0,"{""website"": ""www.ppicurug.ac.id"", ""email"": ""ppi@ppicurug.ac.id"", ""phone"": ""021-5982204""}","Didirikan di Jakarta tepatnya di daerah Gempol-Kemayoran pada tahun 1952, institusi pendidikan ini semula diberi nama Akademi Penerbangan Indonesia . Pada tahun 1954, API dipindahkan dari Jakarta ke kampus baru di wilayah Legok, Kabupaten Tangerang. Lalu pada tahun 1969, Akademi Penerbangan Indonesia  berubah nama menjadi Lembaga Perhubungan Udara .",{}
97,UNIVERSITAS SEMARANG,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-semarang,Rp2.850.000-Rp5.100.000 per semester.,19497.0,406.0,"{""website"": ""www.usm.ac.id"", ""email"": ""univ_smg@usm.ac.id"", ""phone"": ""024-6702757""}","Cikal bakal kampus ini adalah Politeknik Semarang yang didirikan pada tahun 1987. Namanya resmi berubah menjadi Universitas Semarang di tahun 1994 dan kini berada di bawah naungan Yayasan Alumni Universitas Diponegoro. Demi menghadapi persaingan global, sebanyak 30% materi pembelajaran di Universitas Semarang dilaksanakan dalam Bahasa Inggris lho, Quipperian. Ditambah lagi, para mahasiswa juga dibekali dengan pengetahuan dan kemampuan di bidang teknologi dan informasi. Tertarik mendaftar di kampus ini?",{}
98,POLITEKNIK AKA BOGOR,POLITEKNIK NEGERI,https://campus.quipper.com/directory/politeknik-aka-bogor,Rp5.900.000 - Rp7.900.000 per semester,1164.0,79.0,"{""website"": ""www.aka.ac.id"", ""email"": ""info@aka.ac.id"", ""phone"": ""08994468282, 0251-8650351""}","Politeknik AKA Bogor didirikan pada tahun 1959 dengan nama Akademi Kimia Analisis  untuk menyediakan analis tingkat akademi yang diperlukan oleh Balai Penelitian Kimia Bogor . Namun, pada tahun 2015 AKA berubah status menjadi Politeknik AKA Bogor sampai sekarang. Politeknik AKA Bogor sendiri berada di bawah serta bertanggung jawab kepada Kepala Pusat Pendidikan dan Pelatihan Industri Kementerian Perindustrian. Saat ini, Politeknik AKA Bogor menyediakan empat program studi yaitu D3 Analisis Kimia, D3 Penjaminan Mutu Industri Pangan, D3 Pengolahan Limbah Industri, dan D4 Nanoteknologi Pangan.",{}
99,SEKOLAH TINGGI AGAMA KRISTEN PROTESTAN NEGERI SENTANI,SEKOLAH TINGGI NEGERI,https://campus.quipper.com/directory/sekolah-tinggi-agama-kristen-protestan-negeri-sentani,Rp400.000-Rp2.500.000 per semester,1693.0,51.0,"{""website"": ""www.stakpnsentani.ac.id"", ""email"": ""helpdesk@stakpnsentani.ac.id"", ""phone"": ""0967-5195066""}","Sekolah Tinggi Agama Kristen Protestan Negeri  Sentani adalah perguruan tinggi negeri yang dinaungi oleh Direktorat Jendral Bimbingan Masyarakat Kristen Kementerian Agama Republik Indonesia. Sebelum beralih bentuk menjadi STAKPN Sentani pada tanggal 10 April 2001, kampus ini berdiri dengan nama Sekolah Tinggi Agama Kristen Oikumene yang sudah berdiri sejak tanggal 21 Juni 1995.",{}
100,UNIVERSITAS MA CHUNG,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-ma-chung,Rp7.650.000-Rp12.000.000 per semester,1706.0,83.0,"{""website"": ""www.machung.ac.id"", ""email"": ""info@machung.ac.id"", ""phone"": ""0341-550171""}","Ide pendirian Universitas Ma Chung dicetuskan pada saat pelaksanaan Reuni Akbar peringatan hari ulang tahun ke-55 sekolah Ma Chung pada September 2001 di kota Xiamen, China, yang dilandasi oleh warisan semangat Ma Chung: rukun, bersatu, mengabdi kepada masyarakat, serta mewujudkan dedikasi kepada dunia pendidikan Indonesia. Berselang hampir enam tahun kemudian tepatnya 7 Juli 2007, Universitas Ma Chung resmi beroperasi sebagai perguruan tinggi swasta di Malang.",{}
101,UNIVERSITAS MUHAMMADIYAH MALANG,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-muhammadiyah-malang,Rp5.300.000 per semester,7500.0,812.0,"{""website"": ""umm.ac.id"", ""email"": ""humas@umm.ac.id"", ""phone"": ""0341-464318""}","Universitas Muhammadiyah Malang  merupakan perguruan tinggi swasta  yang didirikan tahun 1964 dan berada di bawah naungan Persyarikatan Muhammadiyah. Saat ini, UMM memiliki 62 program studi dalam beberapa jenjang pendidikan .",{}
102,UNIVERSITAS DIRGANTARA MARSEKAL SURYADARMA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-marsekal-suryadarma,Rp1.425.000 - Rp10.350.000 per semester,3491.0,354.0,"{""website"": ""https://www.unsurya.ac.id/"", ""email"": ""sekretariat@unsurya.ac.id"", ""phone"": "" 8009249, 8009246, 8093475""}","Universitas Dirgantara Marsekal Suryadarma  adalah perguruan tinggi swasta yang dipimpin Tentara Nasional Indonesia Angkatan Udara  dan dikelola oleh Yayasan Adi Upaya . Unsurya merupakan satu-satunya universitas di Jakarta yang fokus dalam ilmu kedirgantaraan. Universitas ini didirikan tahun 1988 dengan nama Institut Teknologi Dirgantara Suryadarma , kemudian pada tahun 1989 berubah menjadi Sekolah Tinggi Teknologi Dirgantara Suryadarma . Seiring perkembangan kampus maka pada tahun 1999 STTD berubah menjadi Universitas Suryadarma. Kemudian, pada tahun 2016 dilakukan penambahan kata “Dirgantara” dan “Marsekal"", sehingga menjadi Universitas Dirgantara Marsekal Suryadarma. Nama tersebut menunjukan jati diri sebagai universitas yang mempunyai kekhasan di bidang kedirgantaraan sesuai dengan visinya. Saat ini Unsurya mempunyai 4 fakultas, 11 prodi, dan 2 program pelatihan khusus.",{}
104,STKIP BINA INSAN MANDIRI,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/stkip-bina-insan-mandiri,Rp600.000 per bulan,684.0,63.0,"{""website"": ""www.stkipbim.ac.id"", ""email"": ""admin@stkipbim.ac.id"", ""phone"": ""031-7671122, 031-7404404""}","Terbentuknya Sekolah Tinggi Keguruan dan Ilmu Pendidikan  Bina Insan Mandiri berawal dari penyerahan STKIP PGRI Mojokerto kepada Perkumpulan Pengelola Pendidikan Bina Insan Mandiri di tahun 2004. Pergantian nama kampus menjadi STKIP Bina Insan Mandiri dilaksanakan pada tanggal 12 April 2005. Sejak berdiri hingga tahun 2022, STKIP Bina Insan Mandiri telah meluluskan lebih dari 3000 alumni, lho.",{}
105,SEKOLAH TINGGI MANAJEMEN DAN ILMU KOMPUTER PPKIA PRADNYA PARAMITA,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-manajemen-dan-ilmu-komputer-ppkia-pradnya-paramita-stimata,Rp250.000 per bulan,340.0,25.0,"{""website"": ""www.stimata.ac.id"", ""email"": ""seket@stimata.ac.id"", ""phone"": ""0341-412699""}","Sejarah Sekolah Tinggi Manajemen dan Ilmu Komputer PPKIA Pradnya Paramita  diawali dari Akademi Manajemen Informatika dan Komputer  Pusat Pendidikan Komputer Indonesia Amerika  Malang yang telah berdiri sejak tahun 1996. Pada saat itu, AMIK PPKIA Malang hanya menyelenggarakan Program D3 Manajemen Informatika.",{}
106,SEKOLAH TINGGI AGAMA BUDDHA NEGERI SRIWIJAYA,SEKOLAH TINGGI NEGERI,https://campus.quipper.com/directory/sekolah-tinggi-agama-buddha-negeri-sriwijaya,Rp300.000 - Rp2.500.000 per semester,236.0,46.0,"{""website"": ""https://stabn-sriwijaya.ac.id/"", ""email"": ""stabntangerangbanten@kemenag.go.id, stabn.sriwijaya@yahoo.com, info@stabn-sriwijaya.ac.id"", ""phone"": ""02139700717, 08118899116, 08118899117""}","Sekolah Tinggi Agama Buddha  Sriwijaya resmi didirikan pada tahun 2002 di bawah naungan Yayasan Sriwijaya. Kemudian pada tahun 2005, sekolah ini berubah status menjadi negeri dengan nama Sekolah Tinggi Agama Buddha Negeri  Sriwijaya. Saat ini, STABN menyediakan tiga jurusan yang terbagi menjadi Dharmacarya, Dharmaduta, serta Ekonomi dan Wirausahaan Buddha yang dapat menjadi pilihan Quipperian dalam melanjutkan studi!",{}
107,UNIVERSITAS NAHDLATUL ULAMA SURABAYA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-nahdlatul-ulama-surabaya,Rp5.000.000 - Rp31.000.000 per semester,6078.0,237.0,"{""website"": ""www.unusa.ac.id"", ""email"": ""info@unusa.ac.id"", ""phone"": ""+62318479070""}","Universitas Nahdlatul Ulama Surabaya  merupakan perguruan tinggi yang didirikan oleh Yayasan Rumah Sakit Islam Surabaya  pada tahun 2013. Saat ini, UNUSA terdiri atas lima fakultas yang menyediakan beberapa jenjang pendidikan di antaranya diploma, sarjana, magister, dan profesi. Yuk, simak profil berikut untuk mengetahui lebih banyak informasi terkait kampus ini!",{}
108,POLITEKNIK KESEHATAN KEMENKES GORONTALO,POLITEKNIK NEGERI,https://campus.quipper.com/directory/politeknik-kesehatan-kemenkes-gorontalo,Rp2.900.000- Rp3.400.000 per semester,1972.0,89.0,"{""website"": ""www.poltekkesgorontalo.ac.id"", ""email"": ""info@poltekkesgorontalo.ac.id"", ""phone"": "" 8583111""}","Sejarah Politeknik Kesehatan Kemenkes Gorontalo dimulai sejak tahun 1974 dengan pendirian Sekolah Penjenang Kesehatan Ijazah C dan Ijazah E. Namun pada tahun 1978, Sekolah Penjenang Kesehatan dan sejenisnya ditutup dan diubah menjadi Sekolah Perawat Kesehatan. Lalu pada tahun 2001, namanya berubah menjadi Keperawatan Gorontalo dan masuk dalam Politeknik Kesehatan Manado. Dengan banyak pertimbangan, pada tahun 2007 Keperawatan Gorontalo resmi berpisah dari Politeknik Kesehatan Manado dan terbentuklah Politeknik Kesehatan Kemenkes Gorontalo. Saat ini, Politeknik Kesehatan Kemenkes Gorontalo menyediakan program vokasi untuk bidang keperawatan, gizi, kebidanan, dan sanitasi lingkungan.",{}
109,POLITEKNIK ASTRA,POLITEKNIK SWASTA,https://campus.quipper.com/directory/politeknik-astra,Rp10.000.000 per semester,750.0,72.0,"{""website"": ""www.polytechnic.astra.ac.id"", ""email"": ""sekretariat@polman.astra.ac.id"", ""phone"": ""081384296901, 0216519555 / 821""}","Politeknik Astra berdiri pada tahun 1995 dan berada di bawah naungan yayasan milik PT Astra International Tbk. Awalnya perguruan tinggi ini bernama Akademi Teknik Federal, lalu pada tahun 2001 berganti nama menjadi Politeknik Manufaktur Astra . Barulah kemudian pada tahun 2021 diubah lagi menjadi Politeknik Astra. Saat ini, Politeknik Astra memiliki 6 program studi yaitu D3 Teknik Pembuatan Peralatan Perkakas Produksi , D3 Teknik Produksi dan Proses Manufaktur , D3 Manajemen Informatika , D3 Mesin Otomotif , D3 Mekatronika , dan D3 Teknologi Konstruksi Bangunan Gedung .",{}
110,UNIVERSITAS HAYAM WURUK PERBANAS,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-perbanas-surabaya,Rp7.300.000-Rp10.500.000 per semester,1842.0,108.0,"{""website"": ""www.perbanas.ac.id"", ""email"": ""humas@hayamwuruk.ac.id"", ""phone"": ""031-5947151, 031-5947152""}","Tahukah Quipperian kalau Universitas Hayam Wuruk  Perbanas merupakan bentuk pengembangan dari Sekolah Tinggi Ilmu Ekonomi Perbanas Surabaya? Setelah menyelenggarakan pendidikan ekonomi selama 36 tahun sejak 1985, STIE Perbanas Surabaya resmi bertransformasi menjadi Universitas Hayam Wuruk Perbanas di tahun 2021. Setelah berubah menjadi universitas, kampus ini mulai menambahkan program studi di luar bidang ekonomi, seperti Informatika, Sistem Informasi, dan Desain Komunikasi Visual.",{}
111,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN  KUSUMA NEGARA,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-keguruan-dan-ilmu-pendidikan-stkip-kusuma-negara,Rp4.675.000 - Rp7.200.000 per semester,1632.0,120.0,"{""website"": ""www.stkipkusumanegara.ac.id"", ""email"": ""stkipkn@stkipkusumanegara.ac.id"", ""phone"": "" 87791773""}","Sekolah Tinggi Keguruan dan Ilmu Pendidikan  Kusuma Negara merupakan perguruan tinggi yang didirikan pada tahun 1976 dan berada di bawah naungan Yayasan Masjid Panglima Besar Sudirman. Kampus ini menyediakan 6 program studi pada jenjang sarjana dan memiliki visi berupa mewujudkan sekolah tinggi yang unggul, menghasilkan lulusan yang memiliki kompetensi keguruan berkarakter islami, berdaya saing global, serta berjiwa entrepreneur pada tahun 2030.",{}
112,SEKOLAH TINGGI ILMU KESEHATAN SANTO BORROMEUS,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-santo-borromeus,Rp10.000.000 kisaran per-semester,314.0,44.0,"{""website"": ""www.stikesborromeus.ac.id"", ""email"": ""sekretariat@stikesborromeus.ac.id"", ""phone"": ""022-6803961""}","Sekolah Tinggi Ilmu Kesehatan Santo Borromeus  telah mencetak ribuan lulusan sejak tahun 1926. Sempat berdiri sebagai Akademi Keperawatan , Santo Borromeus didirikan oleh Yayasan Pendidikan Kesehatan Borromeus dan berkedudukan di Kabupaten Bandung Barat. STIKes Santo Borromeus menyelenggarakan pendidikan tinggi kesehatan secara profesional dengan disiplin dan semangat Iman Kristiani, siap mengabdi kepada masyarakat dengan menjunjung tinggi nilai-nilai kemanusiaan sesuai falsafah Pancasila, UUD 1945, dan Guiding Principle of Carolus Borromeus.",{}
113,UNIVERSITAS MUHAMMADIYAH JEMBER,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-muhammadiyah-jember,Rp3.400.000 per semester,2214.0,295.0,"{""website"": ""unmuhjember.ac.id"", ""email"": ""kantorpusat@unmuhjember.ac.id"", ""phone"": ""0331-336728""}","Universitas Muhammadiyah Jember  merupakan perguruan tinggi swasta yang didirikan tahun 1981 dan diresmikan pada tahun 1982, serta berada dibawah naungan Persyarikatan Muhammadiyah. Pada awal terbentuknya, kampus ini hanya memiliki 3 fakultas yakni Fakultas Hukum, Fakultas Keguruan dan Ilmu Pendidikan, serta Fakultas Pertanian. Saat ini, Unmuh Jember memiliki 9 fakultas dengan 28 program studi dan 1 program pascasarjana. Bagi Quipperian yang tertarik untuk melanjutkan pendidikan di Unmuh Jember, yuk simak informasi berikut ini!",{}
114,UNIVERSITAS 17 AGUSTUS 1945  SURABAYA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-17-agustus-1945-surabaya,Rp900.000-Rp1.300.000 per bulan,14845.0,374.0,"{""website"": ""www.untag-sby.ac.id"", ""email"": ""humas@untag-sby.ac.id"", ""phone"": ""031-5931800""}","Universitas 17 Agustus 1945  Surabaya berdiri pada tahun 1958 dengan nama Akademi Administrasi Negara dan Niaga  Surabaya. Lalu, pada tahun 1962, AANN digabung dengan Universitas 17 Agustus 1945 Jakarta menjadi Akademi Administrasi Negara dan Niaga Universitas 1945 Cabang Surabaya . Dengan terbentuknya Yayasan Perguruan 17 Agustus 1945 Surabaya, pada tahun 1966, Untag Surabaya resmi memisahkan diri dan tidak lagi menjadi cabang dari Universitas 17 Agustus 1945 Jakarta. Saat ini, Untag Surabaya telah terakreditasi A oleh Badan Akreditasi Nasional Perguruan Tinggi  dan menyediakan 7 fakultas dengan berbagai macam bidang keilmuan.",{}
115,INSTITUT PTIQ JAKARTA,INSTITUT SWASTA,https://campus.quipper.com/directory/institut-ptiq-jakarta,Rp1.250.000 - Rp2.500.000 per semester,4788.0,106.0,"{""website"": ""www.ptiq.ac.id"", ""email"": ""humas@ptiq.ac.id"", ""phone"": "" 7690901""}","Institut Perguruan Tinggi Ilmu Al-Qur’an  Jakarta didirikan pada 1 April 1971 oleh Yayasan Ihya Ulumudin. Namun, pada tanggal 12 Mei 1973 pengelolaan institut ini diserahkan kepada Yayasan Pendidikan Al-Qur’an. Awalnya, PTIQ hanya memiliki dua fakultas yaitu Syariah dan Ushuluddin. Kini PTIQ telah memiliki empat fakultas yaitu Syariah, Ushuluddin, Dakwah, dan Tarbiyah serta telah membuka Program Pascasarjana.",{}
